BitTorrent library,Cache[Note 4],Web seeding [Note 5],WebTorrent,Broadcatching (RSS),Prioritization,Selective downloads,SOCKS,Remote control via web,Engine,Notes
libtorrent (Rasterbar),Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?,
MonoTorrent,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,
rTorrent (libTorrent Rakshasa),Partial,No,No,No,Yes,Yes,No,Yes,No,No built-in cache-disk cache but a delayed sync
BitTorrent library,Cache,Web seeding,WebTorrent,Broadcatching (RSS),Prioritization,Selective downloads,SOCKS,Remote control via web,Engine,Notes
