,Trident,Gecko,WebKit,KHTML,Presto
Element identifiers,Element identifiers,Element identifiers,Element identifiers,Element identifiers,Element identifiers
id,<3.1[IE 3.0],1.0,Yes,Yes,1.0
class,<3.1[IE 3.0],1.0,Yes,Yes,1.0
Inline styles,Inline styles,Inline styles,Inline styles,Inline styles,Inline styles
style,<3.1[IE 3.0],1.0,Yes,Yes,1.0
Advisory information,Advisory information,Advisory information,Advisory information,Advisory information,Advisory information
title,<3.1[IE 4.0],1.0,Yes,Yes,1.0
Language information,Language information,Language information,Language information,Language information,Language information
lang,<3.1[IE 4.0],1.0,Yes,Yes,1.0
dir,<3.1[IE 5.0],1.0,Yes,Yes,1.0
