Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Camera focus at specified point,2.3+[269],Yes[60],?,1.0.4+[270],Yes
Camera exposure metering from specified point,"No,[271] available on some phones.[272][273]",Yes[274],No,?,No
On device picture info (including Exif data),Only date and location; more with 3rd party software[275],Only date and location; more with 3rd party software[276],No,?,Yes
On device picture categorization,No[277] 3rd party software like TouchWiz[278],5+[279],No,?,No
On device picture description and search,No[280],10+: Items/objects in picture;[281] 7+: Only date and location[282],No,?,No
Turn off shutter sound,In silent mode[283],In silent mode[284],In silent mode,In silent mode[285],No
Picture crop,Yes,5+[286],No,Yes,Yes
Photo rotation,Yes,5+[286],No,Yes,Yes
Photo red-eye reduction,2.3+[287],5+[286],No,No[288],No
HDR photos option,"4.2+, some manufacturers earlier[289]",Yes[290],No,No[291],Yes
Photo/video import from memory cards,Yes,With Camera Connection Kit[266],Yes,Yes,Yes
Video trim,2.3+,Yes,No,?,No
