Client,Developer,First public release,Monthly active users,Registration requirement,License,Operating system,Operating system,Operating system,Operating system,Operating system,Operating system,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,"Custom
emoji",Stickers,Self-destructing messages,Lock screen,Screenshot protection (Android only)[1],App screenshot notification,User screenshot notification[2],Local encrypted,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Privacy law compliant,Client
Palringo,Palringo Ltd,2006; 14 years ago (2006),,N/A,Proprietary Freemium,No,No,No,No,Yes,Yes,No,No,No,No,Palringo,Yes,No,,,,No,,,,?,?,?,?,Yes,No,No,No,,,Palringo
Paltalk,"AVM Software, Inc",June 1998; 22 years ago (1998-06),,Email,Proprietary Freeware,Yes,Yes,No,No,Yes,Yes,No,No,Yes,,Paltalk,Yes,Yes,,,,No,,,,?,?,?,?,Yes,No,No,No,,,Paltalk
Pidgin,Mark Spencer,November 1998; 21 years ago (1998-11),,,GPL,Yes,Yes,Yes,No,No,No,Optional,,No,No,Pidgin,Partial,Yes,,Yes,,Yes,,,,?,?,?,?,Yes,Yes,Optional,Yes,Yes,,Pidgin
Psi,Psi and Psi+ developers,2001; 19 years ago (2001),,,GPL,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Psi,Partial,Partial,,Yes,,Yes,,,,?,?,?,?,Yes,Yes,No,,,,Psi
RetroShare,"Cyril Soler, Gioacchino Mazzurco",2006; 14 years ago (2006),,,GPL,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,RetroShare,,,,,,No,,,,?,?,?,?,,,Yes,N/A,N/A,,RetroShare
Ricochet,Invisible.im,June 2014; 6 years ago (2014-06),,,BSD,Yes,Yes,Yes,No,No,No,Yes,,,,Ricochet,,,,,,No,,,,?,?,?,?,,,Yes,N/A,N/A,,Ricochet
Element,New Vector Limited,July 2016; 4 years ago (2016-07),,N/A,Apache License,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Element,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,No,?,?,?,?,Yes,Yes,No,Yes,Yes,,Element
Sicher,SHAPE GmbH,June 2014; 6 years ago (2014-06),,Phone number,Proprietary Freeware,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Sicher,,,,,,No,,Yes,,?,?,?,?,,,No,No,No,,Sicher
Signal,Signal Messenger,July 2014; 6 years ago (2014-07),,Phone number,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Signal,Yes,Yes,Yes,No,Partial,No,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,Yes[7],No,Yes,Signal
Silent Phone,Silent Circle,"January 16, 2013; 7 years ago (2013-01-16)",,N/A,Proprietary commercial software,No,No,No,No,Yes,Yes,Yes,Yes[8],Yes,,Silent Phone,,,,,,No,,Yes,Yes,?,?,?,?,,,No,No,No,,Silent Phone
Skype,"Skype Technologies, a subsidiary of Microsoft Corporation",2003; 17 years ago (2003),300 million (2018)[4],,Proprietary Freemium adware,Yes,Yes,Yes,Yes,Yes,Yes,Optional,No,Yes,Yes,Skype,Yes,Yes,,Yes,,No,,,,?,?,?,?,No,Yes,No,No,No,,Skype
Slack,Slack Technologies,August 2013; 7 years ago (2013-08),,Email,Proprietary Freemium,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Slack,,,,,,Yes,,,,?,?,?,?,Yes,Yes,No,No,No,,Slack
Snapchat,Snap Inc.,November 2011; 8 years ago (2011-11),294 million (2019)[2],Email / Phone number,Proprietary Freeware,No,No,No,No,Yes,Yes,No,No,No,Yes,Snapchat,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,?,?,?,?,No,Yes,No,No,No,,Snapchat
Surespot,Surespot LLC,2013; 7 years ago (2013),,N/A,GPLv3,No,No,No,No,Yes,Yes,Yes,No groupchat,Yes,Yes,Surespot,Yes,No,,,,No,,No,,?,?,?,?,Yes,No,No,No,No,,Surespot
Telegram,Telegram Messenger LLP,2013; 7 years ago (2013),400 million (2020)[9],Phone number,"GPLv2, GPLv3[10]",Yes,Yes,Yes,Yes,Yes,Yes,Optional,No,Yes,Yes,Telegram,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes*only in secret chats,Yes*only in secret chats,Yes*only in secret chats,?,Yes,No,No,No,No,No,Telegram
Tencent QQ,Tencent Holdings,February 1999; 21 years ago (1999-02),823 million (2019)[2],,Proprietary Adware,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Tencent QQ,Yes,Yes,,,,No,,,,?,?,?,?,Yes,No,No,No,No,No,Tencent QQ
Threema,Threema GmbH,December 2012; 7 years ago (2012-12),,,Proprietary commercial software,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Threema,,,,,,No,,No,,?,?,?,?,,,No,No,No,,Threema
Trillian,Cerulean Studios,"July 1, 2000; 20 years ago (2000-07-01)",,N/A,Proprietary Freemium adware,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Partial,Trillian,Yes,Yes,Yes,,,Yes,,,,?,?,?,?,Yes,Yes,No,No,Yes,,Trillian
Viber,Rakuten Viber,"December 2, 2010; 9 years ago (2010-12-02)",260 million (2019)[2],Phone number,Proprietary Freemium,Yes,Yes,Yes,No,Yes,Yes,Optional,Optional,Yes,Yes,Viber,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes*only in secret chats,Yes*only in secret chats,Yes*only in secret chats,?,Yes,Yes,No,No,No,,Viber
WeChat,Tencent Holdings Limited,"January 21, 2011; 9 years ago (2011-01-21)",1112 million (2019)[2],Phone number / QQ number,Proprietary Freeware,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,WeChat,Yes,Yes,,,,No,,,,?,?,?,?,,,No,No,No,No,WeChat
WhatsApp,"WhatsApp Inc., a subsidiary of Facebook",January 2009; 11 years ago (2009-01),2000 million (2020)[11],Phone number,Proprietary Freeware,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,WhatsApp,Yes,Yes,Yes,No,Partial,No,Yes,No,No,?,?,?,?,No,No,No,No,No,No,WhatsApp
Wickr,Wickr Inc.,June 2012; 8 years ago (2012-06),,N/A,Proprietary Trialware,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Wickr,Yes,Yes,,,Yes,No,,Yes,Yes,Yes[12],?,?,?,No,Yes,No,Yes[13],No,Yes,Wickr
Wire,Wire Swiss GmbH,"December 3, 2014; 5 years ago (2014-12-03)",,Email / Phone number,GPLv3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wire,Yes,Yes,Yes,Yes,Yes,No,No,Yes[14],No,?,?,?,?,No,No,No,Yes[15],No,,Wire
Client,Developer,First public release,Monthly active users,Registration requirement,License,Windows,macOS,Linux,Web,Android,iOS,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,"Custom
emoji",Stickers,Self-destructing messages,Lock screen,Screenshot protection,App screenshot notification,User screenshot notification,Local encrypted,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Privacy law compliant,Client
Client,Developer,First public release,Monthly active users,Registration requirement,License,Operating system,Operating system,Operating system,Operating system,Operating system,Operating system,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,"Custom
emoji",Stickers,Self-destructing messages,Lock screen,Screenshot protection,App screenshot notification,User screenshot notification,Local encrypted,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Privacy law compliant,Client
