,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
Straight ahead only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceed right only,,,,,,,,,,,,,,,NOT USED,,,,,NOT USED,,,,,,,NOT USED,,
Turn right ahead only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceed straight or turn right only,,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,NOT USED,
Pass on this side,,,,,,, or ,,, or ,,,,,,,,,,,,,,,,,,,
Pass on either side,,,,,,,,NOT USED,,,,,,,,,,NOT USED,,, DEFUNCT,,,,,,,,
Roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,, (mini- roundabout),
Route for vehicles carrying dangerous goods,,,NOT USED,NOT USED,,NOT USED,,NOT USED,NOT USED,,NOT USED,NOT USED,,,NOT USED,NOT USED,,NOT USED,,, DEFUNCT,,,,,,,NOT USED,NOT USED
Bicycles only,,,,,,,,,,,,,,,,,,,,,,,,, [note 5],,,,
Pedestrians only,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT USED,
Bicycles and pedestrians only,,,,,,,,,,,,,,,,,,,,,,,,, [note 5],,,,
Equestrians only,,,,,,,,,,NOT USED,,NOT USED,,,,NOT USED,NOT USED,,, (Belarus), DEFUNCT,,,,,,,NOT USED,
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
