,Trident,Gecko,WebKit,KHTML,Presto,Prince XML,Antenna House
DTD,No,Partial[note 4],No[w 6],No,Partial[note 5],3.0,Depends[a 1]
XML Schema[spec 18][spec 19][spec 20][spec 21],?,Partial,No,?,No,?,Depends[a 1]
RELAX NG[spec 22],?,No[g 9],No,?,No,?,Depends[a 1]
