Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Separate volume for ringtone and media,Yes,Yes,?,Yes,Yes
Voice commands,Yes[369],5+ (Siri),?,"3rd party software, such as Saera[370]",No
Offline voice commands,6+[371],Yes[372],?,No,No
Voice recognition,Yes,5+ (Siri),?,No,No
Offline voice recognition,4.1+[373],"Limited, only calling and music playback[374]",No,No,No
Non-English voice recognition,Yes,Yes[205],?,No,No
Sound recorder,Very limited (Doesn't work in background[375] and not voice controlled),3+: Limited (Not voice controlled)[376][377],Partial,3rd party software[378],3rd party software
Call recorder,"Prevented by OS restrictions,[379] but possible with 3rd party firmware[380]",3rd party software[381],No,"Disabled by default, must be interactively switched on during a call when enabled / 3rd party software[382]",?
Sound trim,"No,[383] but 3rd party software available[384]",Yes[385],?,?,?
