Name,Release year,Market,Processor,Code name,Device ID,Clock rate,Clock rate,Core config1,API support[62][13][32][49][50],API support[62][13][32][49][50],API support[62][13][32][49][50],API support[62][13][32][49][50],eDRAM  (MiB),Memory  bandwidth  (GB/s)
Name,Release year,Market,Processor,Code name,Device ID,Min  (MHz),Max  (MHz),Core config1,Direct3D,OpenGL,OpenCL,Vulkan,eDRAM  (MiB),Memory  bandwidth  (GB/s)
HD Graphics 530,2015,Mobile,Core i3-6100E Core i3-6102E Core i5-6300HQ Core i5-6440HQ,Skylake  (Gen9),191B,350,950,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 530,2015,Mobile,Core i5-6440EQ Core i5-6442EQ Core i7-6820EQ Core i7-6822EQ,Skylake  (Gen9),191B,350,1000,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 530,2015,Mobile,Core i7-6700HQ Core i7-6820HK Core i7-6820HQ Core i7-6920HQ,Skylake  (Gen9),191B,350,1050,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 530,2015,Desktop,Pentium G4500T Core i3-6100T Core i3-6300T Core i5-6400T Core i5-6400 ,Skylake  (Gen9),1912,350,950,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 530,2015,Desktop,Core i3-6100TE Core i5-6500TE Core i7-6700TE Core i7-6700T,Skylake  (Gen9),1912,350,1000,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 530,2015,Desktop,Pentium G4500 Pentium G4520 Core i3-6100 Core i5-6500 ,Skylake  (Gen9),1912,350,1050,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 530,2015,Desktop,Core i5-6500T Core i5-6600T Core i7-6700 ,Skylake  (Gen9),1912,350,1100,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 530,2015,Desktop,Core i3-6300 Core i3-6320 Core i5-6600 Core i5-6600K Core i7-6700K ,Skylake  (Gen9),1912,350,1150,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics P530,2015,Workstation,Xeon E3-1268L v5,Skylake  (Gen9),191D,350,1000,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics P530,2015,Mobile  Workstation,Xeon E3-1505L v5,Skylake  (Gen9),191D,350,1000,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics P530,2015,Mobile  Workstation,Xeon E3-1505M v5  Xeon E3-1535M v5,Skylake  (Gen9),191D,350,1050,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics P530,2015,Workstation,Xeon E3-1225 v5,Skylake  (Gen9),191D,400,1150,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics P530,2015,Workstation,Xeon E3-1235L v5,Skylake  (Gen9),191D,400,?,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics P530,2015,Workstation,Xeon E3-1245 v5  Xeon E3-1275 v5,Skylake  (Gen9),191D,400,1150,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
Iris Graphics 540,2015,Mobile,Core i5-6260U,Skylake  (Gen9),1926,300,950,384:48:6  (GT3),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,64,34.1
Iris Graphics 540,2015,Mobile,Core i5-6360U,Skylake  (Gen9),1926,300,1000,384:48:6  (GT3),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,64,34.1
Iris Graphics 540,2015,Mobile,Core i7-6560U Core i7-6650U Core i7-6660U,Skylake  (Gen9),1926,300,1050,384:48:6  (GT3),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,64,34.1
Iris Graphics 550,2015,Mobile,Core i3-6157U  Core i3-6167U,Skylake  (Gen9),1927,300,1000,384:48:6  (GT3),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,64,34.1
Iris Graphics 550,2015,Mobile,Core i5-6267U,Skylake  (Gen9),1927,300,1050,384:48:6  (GT3),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,64,34.1
Iris Graphics 550,2015,Mobile,Core i5-6287U Core i7-6567U,Skylake  (Gen9),1927,300,1100,384:48:6  (GT3),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,64,34.1
Iris Pro Graphics P555,2016,Workstation,Xeon E3-1558L v5,Skylake  (Gen9),192D,650,1000,384:48:6  (GT3),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics 580,2016,Mobile,Core i5-6350HQ,Skylake  (Gen9),193B,350,900,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
