Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Bluetooth keyboard,2.3+;[261] previous versions via 3rd party software[262],Yes[263],No,Yes[264][265],Yes
USB keyboard,3.1+[261],With Camera Connection Kit[266],No,?,Yes
Interchangeable external memory cards,Yes[267],Only for photo/video import with an optional accessory,Yes[268],Yes,Yes
