Implementation,TLS 1.2 Suite B
Botan,Yes
Bouncy Castle,Yes
cryptlib,Yes
GnuTLS,Yes
JSSE,Yes[65]
LibreSSL,Yes
MatrixSSL,Yes
Mbed TLS,Yes
NSS,No[66]
OpenSSL,Yes[52]
RSA BSAFE,Yes[53]
S2n,
SChannel,Yes[67]
Secure Transport,No
wolfSSL,Yes
Implementation,TLS 1.2 Suite B
