Gender of possessed item,Spanish,Spanish,Portuguese,Portuguese
Gender of possessed item,Adjective,Pronoun,Adjective,Pronoun
Feminine,"tu/su casa  ""your house""","la tuya/la suya  ""yours""","(a) tua/(a) sua casa ""your house""","a tua/a sua ""yours"""
Masculine,"tu/su libro  ""your book""","el tuyo/el suyo  ""yours""","(o) teu/(o) seu casa ""your house""","o teu/o seu ""yours"""
