Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
OSI NetExpert,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Java, C++",Oracle,Commercial,Yes,Yes,Yes,2013-04,10.0
PA Server Monitor,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"Viewing, Reporting",Yes,Yes,C++,"SQLite, Microsoft SQL Server",Commercial,Yes,Yes,No,2014-07,5.5
PacketTrap,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,"Viewing, Reporting",Yes,Yes,Unknown,SQL,Commercial,Yes,Yes,Yes,Unknown,Unknown
Pandora FMS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,"Perl, PHP, C++, JavaScript","MySQL, Oracle","GPLv2, Commercial",Yes,Yes,Yes,2017-07,7.0 NG 707
Performance Co-Pilot,No,Yes,Yes,No,Yes,"Optional, Limited",Yes,Yes,Yes,Yes,No,Viewing,Yes,Yes,"C Perl, Python, POSIX, MinGW",Flat file,"GPL, LGPL",No,Yes,Yes,2016-11-15,3.11.6
PRTG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Windows,Flat file,"Limited free, Commercial",Yes,Yes,Yes,2019-05-15,19.2.50
ScienceLogic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,Python,MySQL,Commercial,Yes,Yes,Yes,Unknown,Unknown
SevOne,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,"C, C++, PHP",MySQL,Commercial,Yes,Yes,Yes,2018-09,5.7.2.4[6]
Shinken,Via plugin,Yes,Yes,No,Yes,Yes,Via plugin,Via plugin,Yes,Yes,No,"Viewing, Acknowledging, Reporting",Yes,Via plugin,Python,"Flat file, MySQL, Oracle, Graphite, Sqlite, MongoDB",AGPL,Yes,Yes,Yes,2016-03-10,2.4.3
Solarwinds,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,.NET,SQL,Commercial,Yes,Yes,Yes,Unknown,Unknown
Spiceworks,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,PHP,Sqlite,Unknown,Yes,Unknown,Unknown,2018-03-21,7.5.00107
CA Spectrum,Yes,Yes,Perf. AddOn,Perf. AddOn,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"C++, Java, JavaScript","Sleepycat-QSL, MySQL","Commercial, per Device",Yes,Yes,Yes,2020-01-27,10.4.1
Xymon/Hobbit,Yes,Yes,Yes,No,Via plugin,Via plugin,Via plugin,No,Yes,Yes,No,"Viewing, Acknowledging, Reporting",Yes,Via plugin,"C, Shell","Flat file, RRDTool, MySQL via plugin",GNU GPL,Via plugin,Apache ACL,No,2017-01-18,4.3.28
Vigilo NMS,Yes (NMS and NOC editions),Yes,Yes,Yes via integration,Yes via integration,Yes,Yes,Yes via Prelude SIEM,Yes,Yes,No,"Viewing, Acknowledging, Reporting",Yes (NMS and NOC editions),Yes via GLPI,"Python, Perl","PostgreSQL, RRDtool","Free (GPLv2) OSS edition, Commercial NOC/NMS editions",Yes (NMS and NOC editions),Yes (NMS and NOC editions),Via plugin,2017-09-14,4.1.0
Zabbix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,"C, PHP","Oracle, MySQL, PostgreSQL, IBM DB2, SQLite",GNU GPL,Yes,Yes,Yes,2020-05-12,5.0.1[7]
Zenoss Core,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,"Python, Java","ZODB, MariaDB, Apache HBase","Free Core GPL, Commercial Enterprise",Yes,Yes,Yes,2018-01-09,6.1.0
ZIS-System,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,Windows,MariaDB,Commercial,Yes,Yes,Yes,2020-02-01,5.8
Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
