BitTorrent library,First public release date,Latest stable,Software license
libtorrent (Rasterbar),8 September 2005; 15 years ago (2005-09-08)[80],"2.0[81] (September 6, 2020; 56 days ago (2020-09-06)) [±]",BSD licenses
MonoTorrent,September 2006; 14 years ago (2006-09),"1.0.23 (July 7, 2020; 3 months ago (2020-07-07)) [±]",MIT/X11
rTorrent (libTorrent Rakshasa),15 July 2004; 16 years ago (2004-07-15)[82],"rTorrent 0.9.8 / libTorrent 0.13.8 (July 19, 2019; 15 months ago (2019-07-19)) [±][83]",GNU GPLv2
BitTorrent library,First public release date,Latest stable,Software license
