vte,Consumer,Consumer,Professional,Professional
Portables,"MacBook Air  13.3"" (retina) model; uses Intel Core i3, i5, or i7 processors","MacBook Air  13.3"" (retina) model; uses Intel Core i3, i5, or i7 processors","MacBook Pro  13.3"" (retina P3) and 16"" (retina P3) models; use Intel Core i5, i7, or i9 processors","MacBook Pro  13.3"" (retina P3) and 16"" (retina P3) models; use Intel Core i5, i7, or i9 processors"
Desktops,"Mac Mini  Entry-level desktop; uses Intel Core i3, i5, or i7 processors","iMac  21.5"" (non-retina and 4K P3) and 27"" (5K P3) models; use Intel Core i3, i5, i7 or i9 processors","iMac Pro  27"" (5K P3) model; uses Intel Xeon W processors",Mac Pro  Customizable workstation desktop; uses Intel Xeon W processors
