ㄔㄨㄞ,chʻuai,chuai,chwai,chuai,chuai,chuai,chwai,choai,chuay,ʈʂʰuai
ㄓㄨㄢ,chuan,juan,jwan,jhuan,zhuan,juan,jwan,joan,juann,ʈʂuan
ㄔㄨㄢ,chʻuan,chuan,chwan,chuan,chuan,chuan,chwan,choan,chuann,ʈʂʰuan
ㄓㄨㄤ,chuang,juang,jwang,jhuang,zhuang,juang,jwang,joang,juanq,ʈʂuaŋ
ㄔㄨㄤ,chʻuang,chuang,chwang,chuang,chuang,chuang,chwang,choang,chuanq,ʈʂʰuaŋ
ㄓㄨㄟ,chui,juei,jwei,jhuei,zhui,juei,jwei,joei,juey,ʈʂuei
ㄔㄨㄟ,chʻui,chuei,chwei,chuei,chui,chuei,chwei,choei,chuey,ʈʂʰuei
ㄓㄨㄣ,chun,juen,jwun,jhun,zhun,juen,jwen,joen,juenn,ʈʂuən
ㄔㄨㄣ,chʻun,chuen,chwun,chun,chun,chuen,chwen,choen,chuenn,ʈʂʰuən
ㄓㄨㄥ,chung,jung,jung,jhong,zhong,jong,jorng,joong,jonq,ʈʂʊŋ
ㄔㄨㄥ,chʻung,chung,chung,chong,chong,chong,chorng,choong,chonq,ʈʂʰʊŋ
ㄐㄩ,chü,jiu,jyu,jyu,ju,jiu,jyu,jeu,jiuh,tɕy
ㄑㄩ,chʻü,chiu,chyu,cyu,qu,chiu,chyu,cheu,chiuh,tɕʰy
ㄐㄩㄢ,chüan,jiuan,jywan,jyuan,juan,jiuan,jyuan,jeuan,jiuann,tɕyɛn
ㄑㄩㄢ,chʻüan,chiuan,chywan,cyuan,quan,chiuan,chyuan,cheuan,chiuann,tɕʰyɛn
ㄐㄩㄝ,chüeh,jiue,jywe,jyue,jue,jiue,jyue,jeue,jiueh,tɕye
ㄑㄩㄝ,chʻüeh,chiue,chywe,cyue,que,chiue,chyue,cheue,chiueh,tɕʰye
ㄐㄩㄣ,chün,jiun,jyun,jyun,jun,jiun,jyun,jeun,jiunn,tɕyn
ㄑㄩㄣ,chʻün,chiun,chyun,cyun,qun,chiun,chyun,cheun,chiunn,tɕʰyn
ㄜ,ê/o,e,e,e,e,e,er,ee,eh,ɤ
ㄝ,eh,ê,e,e,ê,è,èr,èe,èh,ɛ
ㄟ,ei,ei,ei,ei,ei,ei,eir,eei,ey,ei
ㄣ,ên,en,en,en,en,en,ern,een,enn,ən
ㄦ,êrh,er,er,er,er,el,erl,eel,ell,aɚ
ㄈㄚ,fa,fa,fa,fa,fa,fa,far,faa,fah,fa
ㄈㄢ,fan,fan,fan,fan,fan,fan,farn,faan,fann,fan
ㄈㄤ,fang,fang,fang,fang,fang,fang,farng,faang,fanq,faŋ
ㄈㄟ,fei,fei,fei,fei,fei,fei,feir,feei,fey,fei
ㄈㄣ,fên,fen,fen,fen,fen,fen,fern,feen,fenn,fən
ㄈㄥ,fêng,feng,feng,fong,feng,feng,ferng,feeng,fenq,fəŋ
ㄈㄛ,fo,fo,fwo,fo,fo,fo,for,foo,foh,fuo
ㄈㄡ,fou,fou,fou,fou,fou,fou,four,foou,fow,fou
ㄈㄨ,fu,fu,fu,fu,fu,fu,fwu,fuu,fuh,fu
ㄏㄚ,ha,ha,ha,ha,ha,ha,har,haa,hah,xa
