,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
onclick,?,?,?,?,?,?,?
ondblclick,?,?,?,?,?,?,?
onmousedown,?,?,?,?,?,?,?
onmouseup,?,?,?,?,?,?,?
onmouseover,?,?,?,?,?,?,?
onmousemove,?,?,?,?,?,?,?
onmouseout,?,?,?,?,?,?,?
Keyboard,Keyboard,Keyboard,Keyboard,Keyboard,Keyboard,Keyboard,Keyboard
onkeypress,?,?,?,?,?,?,?
onkeydown,?,?,?,?,?,?,?
onkeyup,?,?,?,?,?,?,?
