Profile,Element,Trident,Gecko,WebKit[w 3],Blink,Presto,KSVG,Prince,Amaya,Adobe SVG Viewer,Batik,Renesis,LeonLabs
Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module
Tiny,svg,5.0[t 2],1.8,522,?,1.0,Yes,Yes,Yes,1.0,Yes,Yes,1.0
Tiny,g,5.0[t 2],1.8,522,?,2.0,Yes,Yes,Yes,1.0,Yes,1.0,1.0
Tiny,defs,5.0[t 2],1.8,522,?,2.0,Yes,6.0,?,1.0,Yes,1.0,1.0
Tiny,desc,5.0[t 2],1.8,522,?,2.0,No,No,?,1.0,Yes,1.0,1.0
Tiny,title,5.0[t 2],1.8,522,?,2.0,No,No,?,3.0,Yes,1.0,1.0
Tiny,metadata,5.0[t 2],1.8,522,?,2.0,?,No,?,2.0,Yes,1.0,1.0
Tiny,use,5.0[t 2],1.8,Yes[w 4],?,2.0,No,6.0,Yes,1.0,Yes,0.6,1.0
Basic,symbol,5.0[t 2],1.8,522,?,2.0,No,6.0,?,1.0,Yes,0.6,1.0
Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module
Tiny,switch,Yes,1.8,522,?,2.0,?,No,?,2.0,Yes,No,1.0
Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module
Tiny,image,5.0[t 2],2.0[g 5],522,?,2.0,No,5.1,4.0,1.0,Yes,0.5,1.0
Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module
Tiny,style,5.0[t 1],1.8,522,?,2.0,?,Yes,Yes,1.0,Yes,0.6,1.0
Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module
Tiny,circle,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
Tiny,ellipse,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
Tiny,line,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
Tiny,path,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
Tiny,polygon,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
Tiny,polyline,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
Tiny,rect,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,0.6,1.0
Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module
Tiny,text,5.0[t 1],1.8,522,?,2.0,Yes,5.1,4.0,1.0,Yes,0.7,1.0
Basic,tspan,5.0[t 1],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,0.7,1.0
Basic,tref,5.0[t 1],No[g 6],522,?,2.0,Yes,No,6.3,1.0,Yes,0.6,1.0
Basic,textPath,5.0[t 1],1.8.1,522,?,2.0,Yes,No,4.0,1.0,Yes,No,1.0
Full,altGlyph,5.0[t 1],Partial[g 7][g 8],Partial,?,2.2,?,No,4.0,2.0,Yes,No,1.0
Full,altGlyphDef,5.0[t 1],No,No,?,2.2,?,No,4.0,2.0,Yes,No,1.0
Full,altGlyphItem,5.0[t 1],No,No,?,?,?,No,4.0,No,Yes,No,1.0
Full,glyphRef,5.0[t 1],No,No,?,2.2,?,No,4.0,2.0,Yes,No,1.0
Profile,Element,Trident,Gecko,WebKit,Blink,Presto,KSVG,Prince XML,Amaya,Adobe SVG Viewer,Batik,Renesis,LeonLabs
Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module
Full,marker,5.0[t 1],1.8,522,?,2.0,?,6.0,?,3.0,Yes,1.0,1.0
Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module
Full,color-profile,No,No[g 9],No[w 5],?,No,No,No,?,3.0,Yes,No,1.0
Gradient Module,Gradient Module,Gradient Module,Gradient Module,Gradient Module,Gradient Module,Gradient Module,Gradient Module,Gradient Module,Gradient Module,Gradient Module,Gradient Module
Basic,linearGradient,5.0[t 1],1.8,522,?,1.0,Yes,6.0,?,1.0,Yes,0.5,1.0
Basic,radialGradient,5.0[t 1],1.8,522,?,2.0,Yes,6.0,?,1.0,Yes,0.5,1.0
Basic,stop,5.0[t 1],1.8,522,?,1.0,Yes,?,?,1.0,Yes,0.5,1.0
Pattern Module,Pattern Module,Pattern Module,Pattern Module,Pattern Module,Pattern Module,Pattern Module,Pattern Module,Pattern Module,Pattern Module,Pattern Module,Pattern Module
Basic,pattern,5.0[t 1],1.9,522,?,2.0,Yes,?,?,2.0,Yes,0.5,1.0ttt
Clip Module,Clip Module,Clip Module,Clip Module,Clip Module,Clip Module,Clip Module,Clip Module,Clip Module,Clip Module,Clip Module,Clip Module
Basic,clipPath,5.0[t 1],1.8,Mostly[w 6],?,2.0,?,?,?,1.0,Yes,0.6,1.0
Mask Module,Mask Module,Mask Module,Mask Module,Mask Module,Mask Module,Mask Module,Mask Module,Mask Module,Mask Module,Mask Module,Mask Module
Basic,mask,5.0[t 1],1.9,522,?,2.0,?,?,?,1.0,Yes,No,1.0
Filter Module,Filter Module,Filter Module,Filter Module,Filter Module,Filter Module,Filter Module,Filter Module,Filter Module,Filter Module,Filter Module,Filter Module
Basic,feBlend,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Basic,feColorMatrix,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,1.0
Basic,feComponentTransfer,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Basic,feComposite,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Basic,feFlood,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Basic,feGaussianBlur,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,1.0
Basic,feImage,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,1.0
Basic,feMerge,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Basic,feOffset,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,1.0
Basic,feTile,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Full,filter,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Full,feConvolveMatrix,6.0[t 3],1.9,Nightly build[w 8],?,2.0,?,No,?,1.0,Yes,No,
Full,feDiffuseLighting,6.0[t 3],1.9,Nightly build[w 9],?,2.0,?,No,?,1.0,Yes,No,
Full,feDisplacementMap,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Full,feMergeNode,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Full,feMorphology,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Full,feSpecularLighting,6.0[t 3],1.9,Nightly build[w 10],?,2.0,?,No,?,1.0,Yes,No,
Full,feTurbulence,6.0[t 3],1.9,Nightly build[w 11],?,2.0,?,No,?,1.0,Yes,No,
Full,feDistantLight,6.0[t 3],1.9,No,?,2.0,?,No,?,1.0,Yes,No,
Full,fePointLight,6.0[t 3],1.9,No,?,2.0,?,No,?,1.0,Yes,No,
Full,feSpotLight,6.0[t 3],1.9,No,?,2.0,?,No,?,1.0,Yes,No,
Full,feFuncR,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Full,feFuncG,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Full,feFuncB,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Full,feFuncA,6.0[t 3],1.9,Nightly build[w 7],?,2.0,?,No,?,1.0,Yes,No,
Profile,Element,Trident,Gecko,WebKit,Blink,Presto,KSVG,Prince XML,Amaya,Adobe SVG Viewer,Batik,Renesis,LeonLabs
Cursor Module,Cursor Module,Cursor Module,Cursor Module,Cursor Module,Cursor Module,Cursor Module,Cursor Module,Cursor Module,Cursor Module,Cursor Module,Cursor Module
Full,cursor,No[t 4],No[g 10],Partial,?,No,?,?,?,No,Yes,0.6,
Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module,Hyperlinking Module
Tiny,a,Yes,1.8,522,?,1.0,Yes,5.1,8.2,1.0,Yes,0.6,1.0
View Module,View Module,View Module,View Module,View Module,View Module,View Module,View Module,View Module,View Module,View Module,View Module
Basic,view,No,15.0[g 11],Partial,?,2.0,?,?,?,3.0,Yes,No,1.0
Scripting Module,Scripting Module,Scripting Module,Scripting Module,Scripting Module,Scripting Module,Scripting Module,Scripting Module,Scripting Module,Scripting Module,Scripting Module,Scripting Module
Tiny,script,Yes,1.8,522,?,2.0,?,?,?,1.0,Yes,0.5,
Animation Module,Animation Module,Animation Module,Animation Module,Animation Module,Animation Module,Animation Module,Animation Module,Animation Module,Animation Module,Animation Module,Animation Module
Tiny,animate,No,2.0[g 12],No,?,2.0,Yes,No,Yes,1.0,Yes,No,1.0
Tiny,set,No,2.0[g 12],Partial,?,2.0,Yes,No,Yes,1.0,Yes,No,
Tiny,animateMotion,No,2.0[g 13],Partial,?,2.0,No,No,Yes,1.0,Yes,No,1.0
Tiny,animateTransform,No,2.0[g 12],Partial,?,2.0,No,No,Yes,1.0,Yes,No,1.0
Tiny,animateColor (deprecated),No,No[g 14],Partial,?,2.0,Yes,No,Yes,1.0,Yes,No,
Tiny,mpath,No,2.0[g 13],522,?,2.0,?,No,?,2.0,Yes,No,
Font Module,Font Module,Font Module,Font Module,Font Module,Font Module,Font Module,Font Module,Font Module,Font Module,Font Module,Font Module
Tiny,font,No,No[g 15],Yes,?,2.0,?,?,?,2.0,Yes,1.0,1.0
Tiny,font-face,No,No[g 15],Yes,?,1.0,?,?,?,2.0,Yes,Dropped[note 5],1.0
Tiny,glyph,No,No[g 15],Yes,?,1.0,?,?,?,2.0,Yes,1.0,1.0
Tiny,missing-glyph,No,No[g 15],Yes,?,1.0,?,?,?,2.0,Yes,1.0,1.0
Full,hkern,No,No[g 15],Nightly build[w 12],?,2.0,?,?,?,2.0,Yes,No,1.0
Full,vkern,No,No[g 15],Nightly build[w 13],?,2.0,?,?,?,2.0,Yes,No,1.0
Full,font-face-src,No,No[g 15],Yes,?,No,?,?,?,No,Yes,No,1.0
Full,font-face-uri,No,No[g 15],Yes,?,2.0,?,?,?,No,Yes,No,1.0
Full,font-face-format,No,No[g 15],Yes,?,No,?,?,?,No,No,No,1.0
Full,font-face-name,No,No[g 15],Yes,?,No,?,?,?,No,Yes,No,1.0
Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module,Extensibility Module
Full,foreignObject,No,1.9,522,?,2.0,?,No,7.2,No,No,No,No
Profile,Element,Trident,Gecko,WebKit,Blink,Presto,KSVG,Prince XML,Amaya,Adobe SVG Viewer,Batik,Renesis,LeonLabs
