Distribution,Approximate number of packages,Package format/tools,Default installer,Graphical installation procedure
BeleniX,?,RPM,?,?
Nexenta OS,?,APT,?,?
NexentaStor,?,?,?,?
OmniOS,1032[11],IPS,Kayak,No
OpenIndiana,4600[12],IPS,Caiman,Yes
SmartOS,?,pkgsrc/pkgin,N/A (live system),N/A
v9os,?,IPS,?,No
Distribution,Approximate number of packages,Package format/tools,Default installer,Graphical installation procedure
