Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Safe driving mode,3rd party software,11+[230],?,?,?
Turn-by-turn navigation,2+[231],6+[232],?,Yes,3rd party software
Offline maps,"3rd party software Google Maps,[233] Here WeGo",6+[234],?,3rd party software,3rd party software
Alternative routes in maps,Yes[235],5+[236][237],?,3rd party software,3rd party software
