,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
caption,Yes,Yes,Yes,Yes,Yes,Yes,Yes
table,Yes,Yes,Yes,Yes,Yes,Yes,Yes
td,Yes,Yes,Yes,Yes,Yes,Yes,Yes
th,Yes,Yes,Yes,Yes,Yes,Yes,Yes
tr,Yes,Yes,Yes,Yes,Yes,Yes,Yes
col,Yes,?,Yes,Yes,Yes,Yes,Yes
colgroup,Yes,?,Yes,Yes,Yes,Yes,Yes
tbody,Yes,Yes,Yes,Yes,Yes,Yes,Yes
thead,Yes,Yes,Yes,Yes,Yes,Yes,Yes
tfoot,Yes,Yes,Yes,Yes,Yes,Yes,?
