Country,Spacecraft,Power,Thrust,Specific impulse,Year launched
 South Korea,DubaiSat-2,0.3 kW,7 mN,1000s,2013
 China,"Shijian 17 (HEP-100MF, magnetic focusing hall thruster)",1.4 kW,,1850s,2016
 China,Shijian 17 (LHT-100),1.35 kW,80 mN,1600s,2016
