,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface NodeIterator,Interface NodeIterator,Interface NodeIterator,Interface NodeIterator,Interface NodeIterator,Interface NodeIterator,Interface NodeIterator,Interface NodeIterator
DOM2,root,No,?,1.9.1,?,?,1.0
DOM2,whatToShow,No,?,1.9.1,?,?,1.0
DOM2,filter,No,?,1.9.1,?,?,1.0
DOM2,expandEntityReferences,No,?,1.9.1,?,?,1.0
DOM2,nextNode(),Yes,?,1.9.1,?,?,2.0
DOM2,previousNode(),Yes,?,1.9.1,?,?,2.0
DOM2,detach(),No,?,1.9.1,?,?,1.0
Interface NodeFilter,Interface NodeFilter,Interface NodeFilter,Interface NodeFilter,Interface NodeFilter,Interface NodeFilter,Interface NodeFilter,Interface NodeFilter
DOM2,acceptNode(),No,?,1.0,?,?,1.0
Interface TreeWalker,Interface TreeWalker,Interface TreeWalker,Interface TreeWalker,Interface TreeWalker,Interface TreeWalker,Interface TreeWalker,Interface TreeWalker
DOM2,root,No,?,1.0,?,?,1.0
DOM2,whatToShow,No,?,1.0,?,?,1.0
DOM2,filter,No,?,1.0,?,?,1.0
DOM2,expandEntityReferences,No,?,1.0,?,?,1.0
DOM2,currentNode,No,?,1.0,?,?,1.0
DOM2,parentNode(),No,?,1.0,?,?,1.0
DOM2,firstChild(),No,?,1.0,?,?,1.0
DOM2,lastChild(),No,?,1.0,?,?,1.0
DOM2,previousSibling(),No,?,1.0,?,?,1.0
DOM2,nextSibling(),No,?,1.0,?,?,1.0
DOM2,previousNode(),No,?,1.0,?,?,1.0
DOM2,nextNode(),No,?,1.0,?,?,1.0
Interface DocumentTraversal,Interface DocumentTraversal,Interface DocumentTraversal,Interface DocumentTraversal,Interface DocumentTraversal,Interface DocumentTraversal,Interface DocumentTraversal,Interface DocumentTraversal
DOM2,createNodeIterator(),No,?,1.9.1,?,?,1.0
DOM2,createTreeWalker(),No,?,1.0,?,?,1.0
