Library Name,License,Free,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Other Features,Interactivity,Interactivity,Rendering Technologies,Rendering Technologies,Rendering Technologies,Databinding,HTML 5 Canvas
"Highcharts, Highstock",Proprietary,Free for personal and non-commercial uses.[74] Paid for commercial applications.[75],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes[76],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,
JenScript,BSD-3[77],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No[78],Yes,No,Yes,
jqPlot,MIT or GPLv2[79],Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes[80],No,No,,
jqxChart,Proprietary,Free with a link [81] or commercial[82],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,
JSCharting,Proprietary[83],Free with branding [84],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,
KoolChart,Proprietary,Free with a link [85] or commercial[86],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[87],No,Yes,Yes,
LightningChart JS,Proprietary,Free for personal and non-commercial uses.[88] Paid for commercial applications.[89],Yes [90],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Yes
MetricsGraphics,Mozilla Public License Version 2.0[91],Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,,
MuzeJS,MIT[92],Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,
NextCharts,Apache 2.0[93],Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,Yes,
