,Trident,Gecko,WebKit,KHTML,Presto
a,<3.1[IE 4.0],1.0,Yes,Yes,1.0
link,<3.1[IE 4.0],1.0,Yes,Yes,1.0
base,<3.1[IE 4.0],1.0,Yes,Yes,1.0
