Distribution,Developer,First public release,Based on,Latest release date,Status,Purpose,Cost
BeleniX,?,?,"OpenSolaris, GNU","0.7.1 / July 19, 2008",Discontinued,?,Gratis
Nexenta OS,Nexenta Systems,2005,"OpenSolaris, GNU, Ubuntu","3.1.3.5 (October 31, 2012; 8 years ago (2012-10-31)) [±]",Discontinued,?,Gratis
NexentaStor,Nexenta Systems,?,Nexenta OS,"5.3.0, May 2020[1]",Active,“Enterprise Grade Unified Block & File Storage”[2],Commercial
OmniOSce,OmniTI,2012[3],"illumos, GNU",,Active,"“Produce a self-hosting, minimalist Illumos-based release suitable for production deployment”[4]",Gratis
OpenIndiana,illumos Foundation et al.,2010,"illumos, OpenSolaris, GNU","Hipster 2020.10 (October 31, 2020; 2 days ago (2020-10-31)) [±][5]",Active,“Ensure the continued availability of an openly developed distribution based on OpenSolaris”[6],Gratis
SmartOS,Joyent,?,"illumos, GNU",?,Active,Cloud computing (“converged container and virtual machine hypervisor”[7]),Gratis
v9os,Alexander Eremin,?,illumos,2018-10-01[8],Active,"“Server-only, IPS-based minimal SPARC distribution of illumos”[9]",Gratis
Distribution,Developer,First public release,Based on,Latest release date,Status,Purpose,Cost
