Model,Code name[175],"Fab
(nm)",Bus interface,"Core clock
(MHz)","Boost clock
(MHz)","Memory clock
(MHz)",Core config1,Fillrate[212],Fillrate[212],Memory,Memory,Memory,Memory,Processing power (GFLOPS)[212],Processing power (GFLOPS)[212],Supported API version,Supported API version,Supported API version,Supported API version,Supported API version,"TBP
(Watts)",Notes
Model,Code name[175],"Fab
(nm)",Bus interface,"Core clock
(MHz)","Boost clock
(MHz)","Memory clock
(MHz)",Core config1,"Pixel
(GP/s)","Texture
(GT/s)","Size
(GB)","Bandwidth
(GB/s)",Bus type,"Bus width
(bit)",Single precision,Double precision,Direct3D,OpenGL,Vulkan,OpenCL,CUDA,"TBP
(Watts)",Notes
Quadro RTX 4000,TU104-850-A1,12,PCIe 3.0 ×16,1005,1545,1625 (13000),2304:144:64:36:288,98.9,222.5,8,416,GDDR6,256,7119,222.5,12.1,4.6,1.1,1.2,7.5,160,"3x DisplayPort
1x USB Type-C"
Quadro RTX 5000,TU104-875-A1,12,PCIe 3.0 ×16,1620,1815,1750 (14000),3072:192:64:48:384,116.2,348.5,16,448,GDDR6,256,11151,348.5,12.1,4.6,1.1,1.2,7.5,200,"3x DisplayPort
1x USB Type-C"
Quadro RTX 6000,TU102-875-A1,12,PCIe 3.0 ×16,1440,1770,1750 (14000),4608:288:96:72:576,169.9,509.8,24,672,GDDR6,384,16312,509.8,12.1,4.6,1.1,1.2,7.5,250,"3x DisplayPort
1x USB Type-C"
Quadro RTX 8000,TU102-875-A1,12,PCIe 3.0 ×16,1440,1770,1750 (14000),4608:288:96:72:576,169.9,509.8,48,672,GDDR6,384,16312,509.8,12.1,4.6,1.1,1.2,7.5,250,"3x DisplayPort
1x USB Type-C"
