,Trident,Gecko,WebKit,KHTML,Presto
Frame layout,Frame layout,Frame layout,Frame layout,Frame layout,Frame layout
frameset,<3.1[IE 4.0],1.0,Yes,Yes,1.0
frame,<3.1[IE 4.0],1.0,Yes,Yes,1.0
noframes,<3.1[IE 4.0],1.0,Yes,Yes,1.0
Inline frames,Inline frames,Inline frames,Inline frames,Inline frames,Inline frames
iframe,<3.1[IE 4.0],1.0,Yes,Yes,1.0
