Model (Codename),Launch,Architecture (Fab),Transistors Die Size,Core,Core,Fillrate[a][b][c],Fillrate[a][b][c],Processing power[a][d] (GFLOPS),Processing power[a][d] (GFLOPS),Memory,Memory,Memory,Memory,TDP (W),Bus interface,Release Price (USD)
Model (Codename),Launch,Architecture (Fab),Transistors Die Size,Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Single,Double,Bus type & width (bit),Size (GiB),Clock (MT/s),Band- width (GB/s),TDP (W),Bus interface,Release Price (USD)
Radeon Pro WX 2100 (Mobile) (Polaris 12)[336],March 2017,GCN 4th gen (14 nm)[337],2.2×109 101 mm2,512:32:16:8,? ,?,?,1250 ,78 1/16 SP,GDDR5 64-bit,2,6000,48,35,PCIe 3.0 ×16,$ 149
Radeon Pro WX 3100 (Mobile) (Polaris 12)[338][339],March 2017,GCN 4th gen (14 nm)[337],2.2×109 101 mm2,512:32:16:8,? ,?,?,1250 ,78 1/16 SP,GDDR5 128-bit,4,6000,96,50,PCIe 3.0 ×16,$ 199
Radeon Pro WX 4130 Mobile (Polaris 11)[340],March 2017,GCN 4th gen (14 nm)[337],3.0×109 123 mm2,640:40:16:10,1000 1050,16.85,42.12,1348 ,84.24 1/16 SP,GDDR5 128-bit,4,6000,96,50,PCIe 3.0 ×16,Unknown
Radeon Pro WX 4150 Mobile (Polaris 11)[341],March 2017,GCN 4th gen (14 nm)[337],3.0×109 123 mm2,896:56:16:14,1000 1050,16.85,58.97,1887 ,118 1/16 SP,GDDR5 128-bit,4,6000,96,50,PCIe 3.0 ×16,Unknown
Radeon Pro WX 4170 Mobile (Polaris 11)[342],March 2017,GCN 4th gen (14 nm)[337],3.0×109 123 mm2,1024:64:16:16,1000 1050,16.85,67.39,2157 ,135 1/16 SP,GDDR5 128-bit,4,7000,112,50,PCIe 3.0 ×16,$ 399
Radeon Pro WX 7100 Mobile (Polaris 10)[343],March 2017,GCN 4th gen (14 nm)[337],5.7×109 232 mm2,2304:144:32:36,1188,39.78,179.0,5728 ,358 1/16 SP,GDDR5 256-bit,8,5000,160,130,PCIe 3.0 ×16,$ 799
