Name,Description/Focus,Registered users,Alexa ranking,Free ,Premium,Supports same-sex connections,Supports non-monogamous connections,Messaging other users,STD-notification,background checks
Meetic,European online dating service owned by IAC,"42,000,000 registered as of 2011[51]","67,919[52]",Non-free,Yes,Yes,,,,
Moonit,Offers compatibility match according to user' birthdate.,"2,000,000 registered; as of 2014[53]","747,471[54]",Partial,Yes,Yes,?,Partial,,
OkCupid (OkC),Uses answers from user-generated questions to find matches that conform to a user's stated preferences.,"30,000,000+ active as of 2013","1,519[55]",Free,"Yes/No; Free to join, search, messaging, and chat. Non essential features like sponsored profile promotion available for paid ""A-List"" members.[56][57]",Yes,Yes,"Yes, after mutual match.",,
Parship,"Dating site for people looking for a long-term relationship, using a personality test. Available in Europe and Mexico.",,"224,512[58]",Partial,Yes; free profile but subscription required for most features including messaging.,Yes,,Non-free,
Perfectmatch.com,This dating website is using heuristic algorithms to find matches.,,"2,300,989[59]",Non-free,Yes,Yes,,Non-free,,
POF (PlentyofFish),"Dating site mostly active in United States, Canada, United Kingdom and Brazil","100,000,000 registered as of 2015[60]","2,670[61]",Free,"Yes/No; While it is free to use, POF offers premium services as part of their upgraded membership, such as seeing the date and time a user viewed your profile and allowing you to see whether a user read and/or deleted your message.[62]",Yes,,Free,,
Right Stuff,"Dating site for graduates and faculty of Ivy League, Seven Sisters, and about 50 similar colleges and universities and medical schools",4900,"4,522,502[63]",No,"$50 Fee for 6 month membership, plus $3 for profile of members of interest",?,?,Free,,
Scruff,Dating app for gay and bisexual men,10 million registered users (2016)[64],"339,730[65]",Free,Yes,Yes (exclusively),Yes,Free,Yes,
Sniffies.com,Browser based dating and hookup app for gay and bisexual men,,"116,091[66]",Free,Yes,Yes (exclusively),Yes,Free,,
SpeedDate.com,"Online speed dating site, where users meet via text, audio, and video chat","9,000,000 registered as of 2010[47]","299,586[67]",Partial,Premium users can continue communicating after unlimited free speed dates,Yes,,,,
Taimi,Geosocial networking application based on Android and iOS for LGBTQI+ community.,"2,000,000+ as of 2019[68]","342,235[69]",Free,Yes,Yes,Yes,Free,,
Tastebuds.fm,Utilizes tastes in music,,"115,370[70]",Non-free (As of 2014[update]),Yes; Subscription required to send or receive messages.,Yes,,Used to be free and is free for users that joined before it became non-free. Not free for new users,,
Tawkify,Has human matchmakers who set up matches rather than having users find each other.[71],,"169,895[72]",Non-free,Non-free based on user creating activities.,Yes,,Non-free,,
Tinder,Mobile single dating site,"50,000,000 registered; as of 2015[73]","14,870[74]",Free,"Yes – premium users get unlimited swipes, can undo a no-swipe, can browse in other locations, in addition to some other preferences and features",Yes,?,"Yes, after mutual match.",,
Zoosk,Has an integration with Facebook community.[75],"50,000,000 as of 2011[76]","5,153[77]",Non-free,"Yes/No; Searching and viewing partial profiles is included with free account like most dating sites, fee or monthly subscription for full communication with other members.[78]",Yes,,Non-free,,
