Report date,Period,Into the sea (TBq),Into the sea (TBq),Source
Report date,Period,direct,indirect,Source
21 May 2011,1 – 6 April 2011,"4,700",,Tepco[34]
End of August 2011,March – August 2011,"3,500","16,000",JMA[35]
8 September 2011,March – April 2011,"15,000","15,000",Scientist Group[36]
29 October 2011,21 March – 15 July 2011,"27,100","27,100",IRSN[37]
