Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Non-English languages support,Partial[202],Yes[203][204][205],Limited (Search is not diacritical mark-insensitive),Yes,Yes
Underlining spell checker,2.3+[206][207],Yes[208],No,?,No
Built-in system-wide dictionary,Built into keyboard app. Available on every device.[209],5+[210],No,Yes,Yes
Autoexpanding text replacements,Yes,5+[211],?,?,?
Keyboard next word prediction,"No,[212] 3rd party software[213]",8+[214],No,Yes,Yes
Keyboard cursor controller,Google Keyboard;[215][216],12+;[217] 9-11: Only on devices with 3D Touch;[218],No,No,Yes
Optical character recognition input method,No[219],11+: Notes app;[220] 8+: Only for inputting credit card details[221],No,No,No
Third party input methods,Yes[222],8+,?,?,?
Gesture text input,4+[223],13+;[224] 8+: 3rd party software like SwiftKey,?,No[225],No
Emoji support,4.4+[226],Yes[227],?,2.2.0+[228] 3rd party software[229],Yes
