Assembler,Developer,Operating system,FOSS,License,Development active
Microsoft MACRO-80,Microsoft,"CP/M, ISIS-II, TRSDOS, TEKDOS, MSX-DOS",No,Commercial,No
Zeus Assembler,Crystal Computing,,No,Commercial,No
z80asm,,"Unix-like, Windows",Yes,GNU GPL,No
