,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface Range,Interface Range,Interface Range,Interface Range,Interface Range,Interface Range,Interface Range,Interface Range
DOM2,startContainer,No,?,1.0,Yes,?,1.0
DOM2,startOffset,No,?,1.0,Yes,?,1.0
DOM2,endContainer,No,?,1.0,Yes,?,1.0
DOM2,endOffset,No,?,1.0,Yes,?,1.0
DOM2,collapsed,No,?,1.0,Yes,?,1.0
DOM2,commonAncestorContainer,No,?,1.0,Yes,?,1.0
DOM2,setStart(),No,?,1.0,Yes,?,1.0
DOM2,setEnd(),No,?,1.0,Yes,?,1.0
DOM2,setStartBefore(),No,?,1.0,Yes,?,1.0
DOM2,setStartAfter(),No,?,1.0,Yes,?,1.0
DOM2,setEndBefore(),No,?,1.0,Yes,?,1.0
DOM2,setEndAfter(),No,?,1.0,Yes,?,1.0
DOM2,collapse(),No,?,1.0,Yes,?,1.0
DOM2,selectNode(),No,?,1.0,Yes,?,1.0
DOM2,selectNodeContents(),No,?,1.0,Yes,?,1.0
DOM2,compareBoundaryPoints(),No,?,1.0,Yes,?,1.0
DOM2,deleteContents(),No,?,1.0,Yes,?,1.0
DOM2,extractContents(),No,?,1.0,Yes,?,1.0
DOM2,cloneContents(),No,?,1.0,Yes,?,1.0
DOM2,insertNode(),No,?,1.0,Yes,?,1.0
DOM2,surroundContents(),No,?,1.0,Yes,?,1.0
DOM2,cloneRange(),No,?,1.0,Yes,?,1.0
DOM2,toString(),No,?,1.0,Yes,?,1.0
DOM2,detach(),No,?,1.0,Yes,?,1.0
Interface DocumentRange,Interface DocumentRange,Interface DocumentRange,Interface DocumentRange,Interface DocumentRange,Interface DocumentRange,Interface DocumentRange,Interface DocumentRange
DOM2,createRange(),No,?,1.0,No,?,1.0
Exception RangeException,Exception RangeException,Exception RangeException,Exception RangeException,Exception RangeException,Exception RangeException,Exception RangeException,Exception RangeException
DOM2,code,No,?,1.0,Yes,?,1.0
