Analogous concepts and similar terms,Analogous concepts and similar terms,Analogous concepts and similar terms
Term,Cricket,Baseball
the least amount of running that can advance the team's score or scoring possibilities,single (cricket),single (baseball)
a hit ball that bounces and then leaves the field,four (cricket),ground rule double
a ball hit out of the ground without bouncing,six (cricket),home run
