,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
No vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
No entry,,,,,,,,,,,, no exceptions or  with exceptions,,,,,,,,,,,,,,,,,
No motor vehicles,,NOT USED,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,
No motor vehicles except motorcycles,,,,NOT USED,,NOT USED,NOT USED,,,,,NOT USED,,,,NOT USED,,,,NOT USED,,,,,,,NOT USED,,
No motorcycles,,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,,
No bicycles,,,,,,,,,,,,,,,,,,,,,,,,, [note 5],,,,
No pedestrians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No buses,,,,,,,,,,,,,,,,,,,,NOT USED,,,,,,,,,NOT USED
No heavy goods vehicles,,,,,,,,,,,,,,,,,, or ,,,,,,, [note 6],,,,
No tractors,,NOT USED,,,,,,,,,,NOT USED,,,,,,,,,,,,,DEFUNCT,,,,
No trailers,,,,,,,, or ,,,,,,,,,, or ,,, DEFUNCT, or  or ,,,,,, (no caravans),
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
Maximum height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum vehicle length, or ,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
Maximum weight,,,,,,,,,,,,,,,, or ,,,,,,,,,,,,,
Maximum weight per axle,,NOT USED,,,,,,,,,,,,,,,,,,,,,,, [note 7],,,DEFUNCT,
Maximum weight per tandem axle,NOT USED,NOT USED,NOT USED,,,,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,,NOT USED,,NOT USED,NOT USED, or ,NOT USED,NOT USED,NOT USED,NOT USED,,,NOT USED,NOT USED,NOT USED,
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
No vehicles carrying dangerous goods,, or ,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,,
No vehicles carrying dangerous water pollutants,,,,NOT USED,NOT USED,NOT USED,,,,,,NOT USED,,,NOT USED,NOT USED,,,,NOT USED,,,,NOT USED,,,,NOT USED,NOT USED
No vehicles carrying explosives,NOT USED,,NOT USED,NOT USED,NOT USED,NOT USED,, ,,,NOT USED,,,,NOT USED,NOT USED,,,,,NOT USED,,, , ,,, ,NOT USED
Minimum safe following distance between vehicles,,NOT USED,,,,,, (over 3.5 t),, or ,,NOT USED,,,NOT USED,NOT USED,,,,,,,,,,,,NOT USED,
No right turn,,,,,,,,NOT USED,,,,,,,NOT USED,,,,,,,,,,,,,,
No left turn,,,,,,,,NOT USED,,,,,,,NOT USED,,,,,,,,,,,,,,
No U-turns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No overtaking,,,,,,,,,,,,,,,,,, or ,,,,,,,,,,,
No overtaking by heavy goods vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT USED,
No parking or waiting,,,,,,,,,,,,,,,,,,,,,,,,,,,, DEFUNCT (singular),
No stopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No parking zone,,,,,,,,,,,, ,NOT USED,,,,,,,,,,,, or ,,,,
No horns or excessive motor noise,,NOT USED,,,,NOT USED,,NOT USED,,NOT USED,NOT USED,NOT USED,,,NOT USED,,,,,, DEFUNCT,,,NOT USED,REPLACED by sign no. 4.14[note 8],,,NOT USED,NOT USED
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
