Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
IBM Sametime,"Linux, macOS, Windows, mobile",Proprietary,?,"SIP-SIMPLE, T.120",H.323,TLS,Unknown,"IM, File transfer, Voice, Presence, Server stored contact list, HTTP tunneling, plugins, embedable in Lotus Notes[12]","8.5.2; May 8, 2011; 9 years ago (2011-05-08)"
Jami by Savoir-faire Linux,"Android, FreeBSD, iOS, iPhone, Linux, Microsoft Windows, OS X[13]",GPL3,Free,"SIP, RTP, STUN per account, SRV, DHT, P2P","Audio: Opus, Speex, G.722, G.711, GSM, VP8, G.729, iLBC. Video: H.264, H.263, VP8, MPEG-4","Voice encryption (SRTP with SDES or ZRTP) and signaling encryption (TLS), multiple realms authentication mechanism",No limit,"Blockchain ID-management, Gnome-KDE client, address book, multiple accounts, unlimited call number, call transfer, call hold-unhold, call recording, multi-way conferencing","iOS2.48 / April 30, 2020; 6 months ago (2020-04-30)[14]Android20200424-02 / April 27, 2020; 6 months ago (2020-04-27)[15]Windows201908271411 / August 28, 2019; 14 months ago (2019-08-28) [16]macOS1.42 / August 28, 2019; 14 months ago (2019-08-28)[17]",iOS,"2.48 / April 30, 2020; 6 months ago (2020-04-30)[14]",Android,"20200424-02 / April 27, 2020; 6 months ago (2020-04-27)[15]",Windows,"201908271411 / August 28, 2019; 14 months ago (2019-08-28) [16]",macOS,"1.42 / August 28, 2019; 14 months ago (2019-08-28)[17]"
iOS,"2.48 / April 30, 2020; 6 months ago (2020-04-30)[14]"
Android,"20200424-02 / April 27, 2020; 6 months ago (2020-04-27)[15]"
Windows,"201908271411 / August 28, 2019; 14 months ago (2019-08-28) [16]"
macOS,"1.42 / August 28, 2019; 14 months ago (2019-08-28)[17]"
Jitsi,"Linux, macOS, Windows (all java supported). Experimental Android builds are also available.[18]",Apache,Free,"SIP-SIMPLE, XMPP-Jingle STUN ICE, TURN","SILK, G.722, Speex, Opus, G.711 (PCMU/PCMA), iLBC, GSM, G.729, H.264, H.263, VP8","ZRTP, SRTP, OTR, TLS",Unknown,"Text messaging, audio-video telephony, IPv6 (often broken,[19] P2P not supported[20]), call recording, 64-bit","2.10 (build.5550) (February 5, 2017; 3 years ago (2017-02-05)) [±]"
KPhone,Linux (KDE),GPL,Free,"SIP, STUN, NAPTR-SRV",Unknown,SRTP,Unknown,"Video, voice, IM, external Sessions, IPv6 support for UDP",1.2 (November 2008)
Librestream Onsight Connect,"Windows, Android, iOS",Proprietary,?,"SIP, RTP, STUN","G.711, H.264, MPEG, and others","TLS, SRTP",Unknown,"Voice, video, conferencing, image sharing, incoming call/IM push notifications.","February 27, 2018; 2 years ago (2018-02-27)"
Linphone,"Linux, Windows, macOS, Android, iPhone, BlackBerry",GPL v.3,Free,SIP,"Speex, Opus, G711, GSM, G.722, VP8 (WebM), H263, MPEG4, Theora and H264 (plugin)","TLS, SRTP, ZRTP",Unknown,"Video, IM, STUN, IPv6 (disables IPv4 support when enabled, P2P, Secure Encrypion, User own Encryption via Provided API [https://gitlab.linphone.org/BC/public/linphone-desktop)","4.1.1; April 30, 2020; 6 months ago (2020-04-30), provides daily snapshots via http://www.linphone.org/snapshots"
Messages,macOS,Proprietary,"Free, only macOS and iOS",SIP AIM ICQ XMPP,"H263, H264",Unknown,Unknown,"Integrated, PBX independent","7.0; July 25, 2012; 8 years ago (2012-07-25)"
MicroSIP,Windows,GPL,Free,"SIP, STUN, ICE, SIMPLE","Speex, iLBC, GSM, G.711, G.722, G.729, SILK, Linear PCM","TLS, SRTP",Unknown,"Video, voice, IM and Presence",3.19.28 (17 March 2020; 7 months ago (2020-03-17)) [±][21]
Mirial Softphone (Mirial s.u.r.l.),"Windows 2000-XP-2003-Vista-7 (including 64-bit versions), macOS (x86)",Proprietary,not free,"SIP, RTSP",H.323,DTLS-SRTP,Unknown,"H.264 Full-HD 1080p video rx/tx, Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence, G.722.1/C wideband audio, Call recording/export, DV/HDMI/Component capture, Presentation (H.239, RFC-4796), Encryption, Far End Camera Control, GPU accel (D3D and OpenGL)","7.0.24; May 26, 2010; 10 years ago (2010-05-26), discontinued"
Mumble,"Linux, macOS, iOS, Windows, Android",New BSD license,Free,ICE,"CELT, Speex, Opus",TLS and OCB-AES128,No limit (limited only by server bandwidth and memory),"Chat with (limited) embedded HTML, Automatic Gain Control, very low latency, Access Control Lists for user management, Customizable In-Game Overlay for OpenGL and DirectX, Directional Audio, Plugin Support, Nested Channels, Echo cancellation for headset free use, Global Public Server List, Logitech G15 support, Push-To-Talk and Voice-Activation","1.3.0; September 7, 2019; 13 months ago (2019-09-07)"
Nymgo,"Windows, Android, iOS",Proprietary,Free,"SIP, RTP and RTCP",Unknown,Yes,No limit,"Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition",4.2.9; March 2013; 7 years ago (2013-03)
oovoo,"macOS, iOS, Windows, Android",Proprietary,Free,"SIP, RTP and RTCP",Unknown,Yes,12,"Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition",4.2.9; March 2013; 7 years ago (2013-03)
Phoner,Windows,Proprietary,Free,"SIP, TAPI, CAPI","G.711a, G.711u, G.722, G.726, G.729, GSM, iLBC, speex, Opus","TLS, SRTP, ZRTP",8,"Conferencing, call redirection, call recording",3.22 (25 October 2019; 12 months ago (2019-10-25)) [±][22]
PhonerLite,Windows,Proprietary,Free,SIP,"G.711a, G.711u, G.722, G.726, G.729, GSM, iLBC, speex, Opus","TLS, SRTP, ZRTP",8,"Conferencing, call redirection, call recording",2.81 (16 July 2020; 3 months ago (2020-07-16)) [±][23]
QuteCom,"Linux, macOS, Windows XP-2000",GPL,Free,SIP,"G.711, G.729, iLBC, AMR-NB, G.722, Speex, AMR-WB (G.722.2),  H.263, H.263+, H.264, Dirac[24]","SRTP, but key exchange via Everbee key Exchange which is not a Standard",Unknown,"Video, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), voicemail, wengo to phone, conferencing.",2.2.1 (22 June 2011; 9 years ago (2011-06-22)[25]) [±]
Roger Wilco GameSpy,Windows,Proprietary,?,Proprietary,?,?,Unknown,?,2001; 19 years ago (2001)
Signal,"Linux, macOS, Windows, Android, iPhone",GPLv3 clients and AGPLv3 server,Free,RingRTC (WebRTC over Signal protocol[26]),Opus[26],?,Unknown,"Signal also allows users to send text messages, files, voice notes, pictures, GIFs, and video messages over a Wi-Fi or data connection to other Signal users on iOS, Android and a desktop app. The app also supports group messaging, read receipts and typing indicators, both of which can be disabled.","Android4.75.4 / October 28, 2020; 8 days ago (2020-10-28)[27]iOS3.21 / October 25, 2020; 11 days ago (2020-10-25)[28]Desktop1.37.2 / October 20, 2020; 16 days ago (2020-10-20)[29]",Android,"4.75.4 / October 28, 2020; 8 days ago (2020-10-28)[27]",iOS,"3.21 / October 25, 2020; 11 days ago (2020-10-25)[28]",Desktop,"1.37.2 / October 20, 2020; 16 days ago (2020-10-20)[29]"
Android,"4.75.4 / October 28, 2020; 8 days ago (2020-10-28)[27]"
iOS,"3.21 / October 25, 2020; 11 days ago (2020-10-25)[28]"
Desktop,"1.37.2 / October 20, 2020; 16 days ago (2020-10-20)[29]"
Skype,"Linux(with limited functionality),[30] macOS, Windows 2000-XP-Vista-7-Mobile (unsupported), BREW, Windows Phone, Android, iPhone, PSP",Proprietary,Free,Proprietary P2P protocol [a],SILK,TLS,25 starting with version 3.6.0.216. 10 with 2.x,"Conferencing, video, file transfer, voicemail, Skype to phone, phone to Skype, additional P2P extensions (games, whiteboard, etc...); depending on platform.","Windows, UWP15.65.78.0 / 30 September 2020; 36 days ago (2020-09-30)[31]Windows, desktop8.66.0.74 / 2 November 2020; 3 days ago (2020-11-02)[31]macOS8.65.0.78 / 30 September 2020; 36 days ago (2020-09-30)[31]Linux8.65.0.78 / 30 September 2020; 36 days ago (2020-09-30)[31]Android8.65.0.76 / 30 September 2020; 36 days ago (2020-09-30)[32]iOS8.65.0.76 / 30 September 2020; 36 days ago (2020-09-30)[33] (iPhone), [34] (iPad)","Windows, UWP",15.65.78.0 / 30 September 2020; 36 days ago (2020-09-30)[31],"Windows, desktop",8.66.0.74 / 2 November 2020; 3 days ago (2020-11-02)[31],macOS,8.65.0.78 / 30 September 2020; 36 days ago (2020-09-30)[31],Linux,8.65.0.78 / 30 September 2020; 36 days ago (2020-09-30)[31],Android,8.65.0.76 / 30 September 2020; 36 days ago (2020-09-30)[32],iOS,"8.65.0.76 / 30 September 2020; 36 days ago (2020-09-30)[33] (iPhone), [34] (iPad)"
"Windows, UWP",15.65.78.0 / 30 September 2020; 36 days ago (2020-09-30)[31]
"Windows, desktop",8.66.0.74 / 2 November 2020; 3 days ago (2020-11-02)[31]
macOS,8.65.0.78 / 30 September 2020; 36 days ago (2020-09-30)[31]
Linux,8.65.0.78 / 30 September 2020; 36 days ago (2020-09-30)[31]
Android,8.65.0.76 / 30 September 2020; 36 days ago (2020-09-30)[32]
iOS,"8.65.0.76 / 30 September 2020; 36 days ago (2020-09-30)[33] (iPhone), [34] (iPad)"
TeamSpeak,"Linux, Windows, macOS, FreeBSD, Android, iOS",Proprietary,Free,Unknown,"CELT, Speex (both until server version 3.5.0), Opus[35]",Yes,"32 unlicensed, 512 with Non-Profit License (available until September 2018), up to 1024 (Gamer License), 2000","Simultaneous server conferencing with tabs, 3D sound effects, scalable permissions system, firewall friendly file transfers, in-game overlay for DirectX & OpenGL games, global public server list, plugin system","3.5.2; April 2, 2020; 7 months ago (2020-04-02)"
TeamTalk,"Linux, Windows, macOS, Android, iOS, Raspbian",Proprietary,Free,Proprietary,"Opus, Speex, WebM",No,1000,"Video, file sharing, desktop sharing, stream media files (MP3, AVI)",5.3.3; November 2018; 2 years ago (2018-11)
TeamViewer,"Linux, Windows, macOS, iOS, Android[36]",Proprietary,Free (personal use only),Unknown,Unknown,AES256,Unknown,Unknown,"Windows (desktop app)15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[37]macOS15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[38]Linux15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[39]Android15.10.100 / September 22, 2020; 44 days ago (2020-09-22)[40]iOS15.10.2 / September 23, 2020; 43 days ago (2020-09-23)[41]Windows (UWP app)14.100.134887[42]BlackBerry OS12.0.0.6394 / February 1, 2017; 3 years ago (2017-02-01)[43]Chrome OS15.0.14842 / November 19, 2019; 11 months ago (2019-11-19)[44]",Windows (desktop app),"15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[37]",macOS,"15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[38]",Linux,"15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[39]",Android,"15.10.100 / September 22, 2020; 44 days ago (2020-09-22)[40]",iOS,"15.10.2 / September 23, 2020; 43 days ago (2020-09-23)[41]",Windows (UWP app),14.100.134887[42],BlackBerry OS,"12.0.0.6394 / February 1, 2017; 3 years ago (2017-02-01)[43]",Chrome OS,"15.0.14842 / November 19, 2019; 11 months ago (2019-11-19)[44]"
Windows (desktop app),"15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[37]"
macOS,"15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[38]"
Linux,"15.10.5 / September 22, 2020; 44 days ago (2020-09-22)[39]"
Android,"15.10.100 / September 22, 2020; 44 days ago (2020-09-22)[40]"
iOS,"15.10.2 / September 23, 2020; 43 days ago (2020-09-23)[41]"
Windows (UWP app),14.100.134887[42]
BlackBerry OS,"12.0.0.6394 / February 1, 2017; 3 years ago (2017-02-01)[43]"
Chrome OS,"15.0.14842 / November 19, 2019; 11 months ago (2019-11-19)[44]"
Telephone,macOS 10.10.2,BSD,Free,"SIP, STUN, ICE",Unknown,No,Unknown,Address Book integration,"1.1.4; March 6, 2012; 8 years ago (2012-03-06)"
"Toktumi Unlimited, Line2 Pro","Windows XP-Vista-7, macOS, iOS, Android",Proprietary,Free,Proprietary with SIP core,Unknown,Unknown,20,"Conferencing, voicemail, caller ID, call-waiting, address book integration; auto-attendant, call-forwarding",Windows; August 2010; 10 years ago (2010-08); macOS; October 2010; 10 years ago (2010-10)
Tox,"Linux, macOS, Windows, Android, FreeBSD",GPL,Free,"Tox, VP8","Opus,",NaCl,Unknown,"Voice, video, instant messaging, file transfers",Unknown
Tru App,"Windows 2000-XP-Vista-7, macOS, Linux iOS, Android, Symbian, BlackBerry OS,",Proprietary,Free,"SIP, XMPP",Unknown,Unknown,Unknown,"Chat, file transfer, voicemail, inbound numbers, integration with GTalk, Microsoft Live, Skype",
Tuenti,"Android, iPhone, Windows Phone",Proprietary,Free,"WebRTC, SIP, XMPP","iLBC, Opus",Yes,Unknown,"Voice, video, Instant messaging, group chat, photo and video sharing, SMS and MMS, native and social network contacts integration, incoming call/IM push notifications.",
Twinkle,Linux,GPL,Free,SIP,"G.711 A-law μ-law, G.726, GSM, iLBC, Speex narrow wide ultrawide","SRTP, ZRTP",3,"Conferencing, chat, file transfer, Firefox integration, call redirection, voicemail, support of VoIP-to-Phone services","1.10.2 (February 14, 2019; 20 months ago (2019-02-14)) [±]"
Ventrilo,"macOS, Windows, iOS, Android",Proprietary,Free,Unknown,Unknown,No,8,"Conferencing, chat, text-to-speech",3.0.8
Viber,"Linux,[b] macOS,[b] Windows,[b] Android, Bada, BlackBerry OS, iOS, Series 40, Symbian, Windows Phone",Proprietary,?,Unknown,Unknown,Yes[47],Unknown,"Varies by platform: Text, picture and video messaging on all, voice calling only on iPhone, Android and Microsoft's Windows Phone","Android12.4.0.29 / February 20, 2020; 8 months ago (2020-02-20)[48][49]iOS11.8 / November 3, 2019; 12 months ago (2019-11-03)[50]Windows Desktop12.8.0 / April 19, 2020; 6 months ago (2020-04-19)[51][52]Windows UWP6.6.1 / [unknown]Linux12.0.0.7 / November 18, 2019; 11 months ago (2019-11-18)[53]",Android,"12.4.0.29 / February 20, 2020; 8 months ago (2020-02-20)[48][49]",iOS,"11.8 / November 3, 2019; 12 months ago (2019-11-03)[50]",Windows Desktop,"12.8.0 / April 19, 2020; 6 months ago (2020-04-19)[51][52]",Windows UWP,6.6.1 / [unknown],Linux,"12.0.0.7 / November 18, 2019; 11 months ago (2019-11-18)[53]"
Android,"12.4.0.29 / February 20, 2020; 8 months ago (2020-02-20)[48][49]"
iOS,"11.8 / November 3, 2019; 12 months ago (2019-11-03)[50]"
Windows Desktop,"12.8.0 / April 19, 2020; 6 months ago (2020-04-19)[51][52]"
Windows UWP,6.6.1 / [unknown]
Linux,"12.0.0.7 / November 18, 2019; 11 months ago (2019-11-18)[53]"
Vonage,"Linux, macOS, Windows, Android, iOS",Proprietary,not free,"SIP, STUN, ICE, TURN","Audio: Opus, G.711
Video: VP8",SRTP,50,"VoIP, video, instant messaging, presence (SIP SIMPLE), PSTN (inbound and outbound), call waiting, call hold, call forwarding, voicemail, message-waiting indication, 3-way conferencing, contacts integration, receptionist console, video, group chat, content sharing, SMS over IP services, native and social network contacts integration, incoming call/IM push notifications, fax, file sharing, screen sharing (desktop only), number programmability."
Wire,"Linux, Windows, macOS, iOS, Android, Web",GPLv3,not free,?,"Audio: Opus
Video: VP8","DTLS, SRTP[54]",10[55],"End-to-end encryption by default for everything, instant messaging, video call, video group call, file sharing, GIF sharing, push to talk, edit message, delete message (on both side), timed messages, doodling, identity verification, screen sharing (desktop only)",?
X-Lite,"macOS, Windows",Proprietary,Free,"SIP, STUN, ICE, TURN","H.263, H.263+, G.711, iLBC, Speex",No,3,"VoIP over WiFi, 3G, 4G, video, instant messaging, presence (SIP SIMPLE), call waiting, call hold, call forwarding, voice mail, message waiting indication, 3 way conferencing, contacts integration, background noise reduction (BNR), automatic gain control (AGC)","5.3.3 July 10, 2018; 2 years ago (2018-07-10)"
Yahoo! Messenger,"Classic Mac OS (8, 9), macOS, Windows, (Linux, FreeBSD version VoIP incapable)",Proprietary,Free,SIP (using TLS) and RTP (media),Unknown,Unknown,Unknown,"Video, file transfer, PC to phone, phone to PC","Windows: 11.5.0.228; May 31, 2012; 8 years ago (2012-05-31)  Mac: 3.0.1; July 20, 2011; 9 years ago (2011-07-20)  Linux: 1.0.6; September 2003; 17 years ago (2003-09)  SunOS 5.7: 0.99.17-1; September 2003; 17 years ago (2003-09)  Solaris 8: 1.0.4; September 2003; 17 years ago (2003-09)  FreeBSD 4-5: 1.0.4; September 2003; 17 years ago (2003-09)  iOS: 2.2.6; July 12, 2012; 8 years ago (2012-07-12)"
Yate Client,"Linux, macOS, Windows",GPL,Free,"SIP, IAX, XMPP, H.323","G.711a, G.711u, GSM 06.10, iLBC, Speex, G.723, G.726, G.728, G.729","SRTP, maybe ZRTP?",Unknown,,6.0.0; September 2017; 3 years ago (2017-09)
Zfone,"Linux, macOS, Windows",Proprietary (with viewable source),Includes time bomb provision,"SIP, RTP",Unknown,"SRTP, ZRTP",Unknown,,"Beta 2008-09-04 (Linux 0.9.224), (macOS 0.9.246), (Windows 0.9.206)"
