Graphics,Launch,Market,Processor,Code name,Device ID[3],Core clock  (MHz),Core config1,API support[13][32][33][34],API support[13][32][33][34],API support[13][32][33][34],API support[13][32][33][34],Memory  bandwidth (GB/s),DVMT (MB),QSV
Graphics,Launch,Market,Processor,Code name,Device ID[3],Core clock  (MHz),Core config1,Direct3D,OpenGL[24],OpenCL,Vulkan,Memory  bandwidth (GB/s),DVMT (MB),QSV
HD Graphics 4000[28],2012,Mobile,Core i5-3427U,Ivy Bridge,0166,350–1150,128:16:2 (GT2),11.1  FL11_0,4.0Windows  4.1macOS  4.2Linux  ES 3.0Linux,1.2,(1.0)Linux,25.6,1720,Yes
HD Graphics 4000[28],2012,Mobile,Core i5-3610ME,Ivy Bridge,0166,650–950,128:16:2 (GT2),11.1  FL11_0,4.0Windows  4.1macOS  4.2Linux  ES 3.0Linux,1.2,(1.0)Linux,25.6,1720,Yes
HD Graphics 4000[28],2012,Mobile,Core i7-3520M Core i7-3xx7U Core i7-3xxxQM Core i7-3920XM,Ivy Bridge,0166,350–1300,128:16:2 (GT2),11.1  FL11_0,4.0Windows  4.1macOS  4.2Linux  ES 3.0Linux,1.2,(1.0)Linux,25.6,1720,Yes
HD Graphics P4000[37],2012,Workstation,Xeon E3-12x5V2,Ivy Bridge,016A,650–1250,128:16:2 (GT2),11.1  FL11_0,4.0Windows  4.1macOS  4.2Linux  ES 3.0Linux,1.2,(1.0)Linux,25.6,1720,Yes
HD Graphics,2013,Tablet,Atom Z3735D  Atom Z3735E  Atom Z3735F  Atom Z3735G  Atom Z3736F  Atom Z3736G,Valleyview  (Bay Trail),0F30  0F31  0F32  0F33  0155  0157,311-646,32:4:1[38],11[39],4.0  ES 2.0/1.1Linux[40],1.2,(1.0)Linux,10.7,2048,Yes
HD Graphics,2013,Tablet,Atom Z3680,Valleyview  (Bay Trail),0F30  0F31  0F32  0F33  0155  0157,311-667,32:4:1[38],11[39],4.0  ES 2.0/1.1Linux[40],1.2,(1.0)Linux,8.5,2048,Yes
HD Graphics,2013,Tablet,Atom Z3740  Atom Z3770,Valleyview  (Bay Trail),0F30  0F31  0F32  0F33  0155  0157,311-667,32:4:1[38],11[39],4.0  ES 2.0/1.1Linux[40],1.2,(1.0)Linux,17.1,2048,Yes
HD Graphics,2013,Tablet,Atom Z3680D  Atom Z3740D  Atom Z3770D,Valleyview  (Bay Trail),0F30  0F31  0F32  0F33  0155  0157,313-688,32:4:1[38],11[39],4.0  ES 2.0/1.1Linux[40],1.2,(1.0)Linux,10.7,2048,Yes
HD Graphics,2013,Tablet,Atom Z3745  Atom Z3775  Atom Z3795,Valleyview  (Bay Trail),0F30  0F31  0F32  0F33  0155  0157,311-778,32:4:1[38],11[39],4.0  ES 2.0/1.1Linux[40],1.2,(1.0)Linux,17.1,2048,Yes
HD Graphics,2013,Tablet,Atom Z3745D  Atom Z3775D,Valleyview  (Bay Trail),0F30  0F31  0F32  0F33  0155  0157,311-792,32:4:1[38],11[39],4.0  ES 2.0/1.1Linux[40],1.2,(1.0)Linux,10.7,2048,Yes
