Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
System wide base text size,Yes,Yes[76][77][78],?,2.1.0+: Set text size[79],?
Monaural output,Yes,Yes,No,No,No
Always visible scrollbar,No,No,No,No,No
Reduced Animations,Yes,Yes,No,No,No
