Model,CPU/APU PCIe Link,PCIe,PCIe,PCIe,SATA + SATA Express,USB 3.1 Gen2 + 3.1 Gen1 + 2.0,RAID,Overclocking,TDP (W),Chipset lithography,Features / notes,Part number
Model,CPU/APU PCIe Link,Chipset PCIe 2.0 Lanes,CrossFire,SLI,SATA + SATA Express,USB 3.1 Gen2 + 3.1 Gen1 + 2.0,RAID,Overclocking,TDP (W),Chipset lithography,Features / notes,Part number
X399[30][29],4,8×,Yes,Yes,4 + 2,2 + 14 + 6,"0,1,10",Yes,5 W[31],Unknown,Unknown,Unknown
