,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4]
selectors-4,E:dir(ltr),Directionality,No,No,17[g 9],No,No,No
selectors-4,"E:lang(zh, *-hant)",Languages,No,No,No,No,No,No
selectors-4,E:any-link,Hyperlink,No,No,50.0[g 10],No,No,No
selectors-4,E:local-link,Local link,No,No,No,No,No,No
selectors-4,E:local-link(0),Local link,No,No,No,No,No,No
selectors-4,E:scope,Contextual reference,No,No,20[g 11],No,No,No
selectors-4,E:current,Time-dimensional : current,No,No,No,No,No,No
selectors-4,E:current(s),Time-dimensional : current,No,No,No,No,No,No
selectors-4,E:past,Time-dimensional : past,No,No,No,No,No,No
selectors-4,E:future,Time-dimensional : future,No,No,No,No,No,No
selectors-4,E:nth-match(n of selector),Nth child of,No,No,No,No,No,No
selectors-4,E:nth-last-match(n of selector),Nth last child of,No,No,No,No,No,No
selectors-4,E:column(selector),Column,No,No,No,No,No,No
selectors-4,E:nth-column(n),Nth column,No,No,No,No,No,No
selectors-4,E:nth-last-column(n),Nth last column,No,No,No,No,No,No
selectors-4,E:placeholder-shown,placeholder text,No,No,No,No,No,No
selectors-4,E:active-drop,will receive the item,No,No,No,No,No,No
selectors-4,E:valid-drop,could receive the item,No,No,No,No,No,No
selectors-4,E:invalid-drop,cannot receive the item,No,No,No,No,No,No
Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements
CSS2,E:first-letter,First letter,9.0,12,1.0,85,Yes,1.0
CSS2,E:first-line,First line,9.0,12,1.0,Partial,Yes,1.0
CSS2,E:before,Before,8.0,12,1.9.1,Partial,Yes,1.0
CSS2,E:after,After,8.0,12,1.9.1,Partial,Yes,1.0
selectors-3,E::before,Double colon notation,9.0,12,1.9.1,Partial,3.4,1.0
selectors-3,E::after,Double colon notation,9.0,12,1.9.1,Partial,3.4,1.0
selectors-3,E::first-letter,Double colon notation,9.0,12,1.5,85,3.4,1.0
selectors-3,E::first-line,Double colon notation,9.0,12,1.5,Partial,3.4,1.0
css-pseudo-4,E::marker[spec 5],list marker,No,No,No,No,No,No
css-pseudo-4,E::selection,Selection,9.0,12,Experimental[g 12],412,3.4,2.1
CSS UI pseudo elements,E::value,user interface element fragments[spec 6],No,No,No,No,No,No
CSS UI pseudo elements,E::choices ,user interface element fragments[spec 6],No,No,No,No,No,No
CSS UI pseudo elements,E::repeat-item,user interface element fragments[spec 6],No,No,No,No,No,No
CSS UI pseudo elements,E::repeat-index,user interface element fragments[spec 6],No,No,No,No,No,No
,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
