,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList
DOM1,length,5.0,Yes,1.0,Yes,?,1.0
DOM1,item(),5.0,Yes,1.0,Yes,?,1.0
Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap
DOM1,length,5.0,Yes,1.0,Yes,?,1.0
DOM1,getNamedItem(),5.0,Yes,1.0,Yes,?,1.0
DOM1,setNamedItem(),5.0,Yes,1.0,Yes,?,1.0
DOM1,removeNamedItem(),5.0,Yes,1.0,Yes,?,1.0
DOM1,item(),5.0,Yes,1.0,Yes,?,1.0
DOM2,getNamedItemNS(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,setNamedItemNS(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,removeNamedItemNS(),9.0[t 3],No,1.0,Yes,?,1.0
Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData
DOM1,data,4.0,Yes,1.0,Yes,?,1.0
DOM1,length,4.0,Yes,1.0,Yes,?,1.0
DOM1,substringData(),4.0,Yes,1.0,Yes,?,1.0
DOM1,appendData(),4.0,Yes,1.0,Yes,?,1.0
DOM1,insertData(),4.0,Yes,1.0,Yes,?,1.0
DOM1,deleteData(),4.0,Yes,1.0,Yes,?,1.0
DOM1,replaceData(),4.0,Yes,1.0,Yes,?,1.0
Interface Attr,Interface Attr,Interface Attr,Interface Attr,Interface Attr,Interface Attr,Interface Attr,Interface Attr
DOM1,name,6.0,?,1.0,Yes,Yes,1.0
DOM1,value,6.0,?,1.0,Yes,Yes,1.0
DOM1,specified,Incorrect,Incorrect,1.9.1,Yes,Yes,1.0
DOM2,ownerElement,9.0[t 3],?,1.0,Yes,Yes,1.0
DOM3,schemaTypeInfo,No,No,No,No,?,No
DOM3,isId,No,No,1.9,No,No,No
Interface Element,Interface Element,Interface Element,Interface Element,Interface Element,Interface Element,Interface Element,Interface Element
DOM1,tagName,4.0,Yes,1.0,Yes,Yes,1.0
DOM1,getElementsByTagName(),4.0,Yes,1.0,Yes,Yes,1.0
DOM1,getAttribute(),8.0,Yes,1.0,Yes,Yes,1.0
DOM1,setAttribute(),8.0,Yes,1.0,Yes,Yes,1.0
DOM1,removeAttribute(),8.0,Yes,1.0,Yes,Yes,1.0
DOM1,getAttributeNode(),6.0,Yes,1.0,Yes,Yes,1.0
DOM1,setAttributeNode(),9.0[t 3],Yes,1.0,Yes,Yes,1.0
DOM1,removeAttributeNode(),9.0[t 3],Yes,1.0,Yes,Yes,1.0
DOM1,normalize(),9.0[t 3],Yes,1.0,No,?,1.0
DOM2,getAttributeNS(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM2,setAttributeNS(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM2,removeAttributeNS(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM2,getAttributeNodeNS(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM2,setAttributeNodeNS(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM2,getElementsByTagNameNS(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,hasAttribute(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM2,hasAttributeNS(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM3,schemaTypeInfo,No,No,No,No,?,No
DOM3,setIdAttribute(),No,No,No,No,?,No
DOM3,setIdAttributeNS(),No,No,No,No,?,No
DOM3,setIdAttributeNode(),No,No,No,No,?,No
Interface Text,Interface Text,Interface Text,Interface Text,Interface Text,Interface Text,Interface Text,Interface Text
DOM1,splitText(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM3,isElementContentWhitespace,No,No,1.9.1,No,?,Yes
DOM3,wholeText,9.0[t 3],No,1.9.1,No,?,2.1
DOM3,replaceWholeText(),9.0[t 3],No,1.9.1,No,?,2.1
Interface Comment,Interface Comment,Interface Comment,Interface Comment,Interface Comment,Interface Comment,Interface Comment,Interface Comment
DOM1,(no properties),6.0,No,1.0,Yes,?,1.0
Interface TypeInfo,Interface TypeInfo,Interface TypeInfo,Interface TypeInfo,Interface TypeInfo,Interface TypeInfo,Interface TypeInfo,Interface TypeInfo
DOM3,typeName,No,No,No,No,No,No
DOM3,typeNamespace,No,No,No,No,No,No
DOM3,isDerivedFrom(),No,No,No,No,No,No
Interface UserDataHandler,Interface UserDataHandler,Interface UserDataHandler,Interface UserDataHandler,Interface UserDataHandler,Interface UserDataHandler,Interface UserDataHandler,Interface UserDataHandler
DOM3,handle(),No,No,No,No,No,No
Interface DOMError,Interface DOMError,Interface DOMError,Interface DOMError,Interface DOMError,Interface DOMError,Interface DOMError,Interface DOMError
DOM3,severity,No,No,No,No,No,2.0
DOM3,message,No,No,No,No,No,2.0
DOM3,type,No,No,No,No,No,2.0
DOM3,location,No,No,No,No,No,2.0
DOM3,relatedData,No,No,No,No,No,2.0
DOM3,relatedException,No,No,No,No,No,No
Interface DOMErrorHandler,Interface DOMErrorHandler,Interface DOMErrorHandler,Interface DOMErrorHandler,Interface DOMErrorHandler,Interface DOMErrorHandler,Interface DOMErrorHandler,Interface DOMErrorHandler
DOM3,handleError(),No,No,No,No,No,2.0
Interface DOMLocator,Interface DOMLocator,Interface DOMLocator,Interface DOMLocator,Interface DOMLocator,Interface DOMLocator,Interface DOMLocator,Interface DOMLocator
DOM3,lineNumber,No,No,No,No,No,2.0
DOM3,columnNumber,No,No,No,No,No,2.0
DOM3,byteOffset,No,No,No,No,No,2.0
DOM3,utf16Offset,No,No,No,No,No,2.0
DOM3,relatedNode,No,No,No,No,No,2.0
DOM3,uri,No,No,No,No,No,2.0
Interface DOMConfiguration,Interface DOMConfiguration,Interface DOMConfiguration,Interface DOMConfiguration,Interface DOMConfiguration,Interface DOMConfiguration,Interface DOMConfiguration,Interface DOMConfiguration
DOM3,parameterNames,No,No,No,No,?,2.0
DOM3,setParameter(),No,No,No,No,?,2.0
DOM3,getParameter(),No,No,No,No,?,2.0
DOM3,canSetParameter(),No,No,No,No,?,2.0
