Architecture,Fabrication (nm),Family,Production Date,Code name,Model Group,Cores,Clock rate (MHz),Bus Speed & Type[a],Cache,Cache,Cache,Socket,Memory Controller,Features,Features,Features
Architecture,Fabrication (nm),Family,Production Date,Code name,Model Group,Cores,Clock rate (MHz),Bus Speed & Type[a],L1,L2,L3,Socket,Memory Controller,SIMD,Speed/Power,Other
K8,130,Opteron,,Sledgehammer,800,1,1400-2400,800,64+64,1024,,Socket 940,DDR,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  ccNUMA"
K8,90,Opteron,,Venus,100,1,1600-3000,800,64+64,1024,,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  ccNUMA"
K8,90,Opteron,,Troy,200,1,1600-3000,800,64+64,1024,,Socket 940,DDR,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  ccNUMA"
K8,90,Opteron,,Athens,800,1,1600-3000,800,64+64,1024,,Socket 940,DDR,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  ccNUMA"
K8,90,Opteron,,Denmark,100,2,1600-3200,1000,64+64,1024,,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  NX Bit"
K8,90,Opteron,,Italy,200,2,1600-3200,1000,64+64,1024,,Socket 940,DDR,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  NX Bit,  ccNUMA"
K8,90,Opteron,,Egypt,800,2,1600-3200,1000,64+64,1024,,Socket 940,DDR,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  NX Bit,  ccNUMA"
K8,90,Opteron,,Santa Ana,1200,2,1800-3200,1000,64+64,1024,,Socket AM2,DDR2,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  NX Bit"
K8,90,Opteron,,Santa Rosa,2200,2,1800-3200,1000,64+64,1024,,Socket F,DDR2,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  NX Bit"
K8,90,Opteron,,Santa Rosa,8200,2,2000-3000,1000,64+64,1024,,Socket F,DDR2,"MMX, 3DNow!+, SSE, SSE2",PowerNow!,"AMD64,  NX Bit"
K8,130,Athlon 64 FX,,Sledgehammer,"FX-51, FX-53",1,"2200, 2400",800,64+64,1024,,Socket 940,DDR,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,130,Athlon 64 FX,,Clawhammer,"FX-53, FX-55",1,"2400, 2400",1000,64+64,1024,,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64 FX,,San Diego,"FX-55, FX-57",1,"2600, 2800",1000,64+64,1024,,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
