Level,Level,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
Level,Level,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z 7,Z 7,Z 7,Z 7,Z 7,Z 7,Z 7,Z 7,Z 7,Z 7Ⅱ,Z 7Ⅱ,Z 7Ⅱ,Z 7Ⅱ,Z 7Ⅱ
High-end,High-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z 6,Z 6,Z 6,Z 6,Z 6,Z 6,Z 6,Z 6,Z 6Ⅱ,Z 6Ⅱ,Z 6Ⅱ,Z 6Ⅱ,Z 6Ⅱ
High-end,High-end,V1,V1,V1,V1,V1,V2,V2,V2,V2,V2,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,,,,,,,,,,,,,
Mid-range,Mid-range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z 5,Z 5,Z 5,Z 5,Z 5,Z 5
Mid-range,Mid-range,J1,J1,J1,J1,J2,J2,J3,J3,J3,J3,J3,J4,J4,J4,J4,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,,,,,Z 50,Z 50,Z 50,Z 50,Z 50,Z 50,Z 50,Z 50,Z 50
Entry-level,Entry-level,,,,,,,S1,S1,S1,S1,S1,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,,,,,,,,,,,,,
Rugged,Rugged,,,,,,,,,,,,,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,AW1,,,,,,,,,,,,,
