,Trident,Gecko,WebKit,KHTML,Presto
Font styles,Font styles,Font styles,Font styles,Font styles,Font styles
b,<3.1[IE 4.0],1.0,Yes,Yes,1.0
i,<3.1[IE 4.0],1.0,Yes,Yes,1.0
big,<3.1[IE 4.0],1.0,Yes,Yes,1.0
small,<3.1[IE 4.0],1.0,Yes,Yes,1.0
tt,<3.1[IE 4.0],1.0,Yes,Yes,1.0
Horizontal rules,Horizontal rules,Horizontal rules,Horizontal rules,Horizontal rules,Horizontal rules
hr,<3.1[IE 4.0],1.0,Yes,Yes,1.0
