English,Malaysian,Indonesian
you,"anda (very formal), awak, kamu, engkau, kau","anda (everyday formal), kamu (familiar only), engkau ('kau) (prose)"
zero,sifar,nol from Dutch nul
zipper (fastener),zip,resleting from Dutch ritssluiting
zone,zon,"daerah, zona"
zoo,"zoo, taman haiwan (kebun binatang was also frequently used in Malaysia before the mid-1960s)","kebun binatang (derived from Dutch dierentuin, lit. ""animal garden""), taman margasatwa (more formal form for zoological park) "
