Software,Platform,License,Latest version,Last release year,Size (MB)[a],Description,Number[b],Supported metadata standards[c],Supported metadata standards[c],Supported metadata standards[c],Supported metadata standards[c],Supported metadata standards[c],Supported metadata standards[c],Supported file formats[d],Supported file formats[d],Supported file formats[d],Supported file formats[d]
JBrout,"Linux,
Windows",GPL,"0.3.359,
0.3.282","2013
2010","1.3
20.8",Allows to drop quickly and easily tags over selected images directly by typing them on the keyboard. Pluginable.,?,RDEW,RDEW,RDEW,RDEW,-,-,Yes,-,-,-
JExifViewer[38],"Linux, Windows",GPL,1.8,2010,5.3,View EXIF information stored in JPEG files.,N/A,R,R,-,-,-,-,Yes,-,-,-
JPEG & PNG Stripper[39],Windows,Freeware,1.5.7.70,2014,0.1,A tool for stripping/cleaning/removing unnecessary metadata.,N/A,D,D,D,D,D,D,Yes,-,-,Yes
JPEG Comment Editor[40],Windows,Freeware and Shareware,1.0,2015,1.0,"Software for creating, viewing, editing, and saving metadata as text file for your photos.",?,-,-,-,-,-,-,Yes,-,-,-
Metadata++[41],Windows,Freeware,1.22.4,2020,1.2,"Edit, modify, add, delete any metadata from audio, video, photo, text...",>200,RDEW,RDEW,RDEW,RDEW,RDEW,RDEW,Yes,Yes,Yes,Yes
MAT[42],Linux MacOS,GPLv2,0.5.2,2014,3.1,"Toolbox composed of a GUI application, a CLI application and a library, to anonymize/remove metadata",N/A,D,D,D,D,D,D,Yes,Yes,Yes,Yes
MetadataFox[43],Windows,Shareware,1.1,2010,0.4,A tool to explore files by their XMP metadata.,N/A,-,-,-,R,-,-,Yes,-,-,Yes
MetadataTouch[44],Windows,Shareware,5.2,2011,0.6,A tool to view and edit IPTC and XMP metadata.,70,-,-,EW,EW,-,-,Yes,-,-,Yes
MetaEditor,Windows,Freeware,3.3.0.0,2014,7.1,Allows you read and edit metadata within your digital photos.,>200,REW,REW,REW,REW,-,-,Yes,Yes,-,-
Metalith[45][46],Windows,Freeware,10.06,2020,16.6,"Allows you read, analyze and edit metadata. The main feature of the program is the ability to simultaneously edit any number of files.",>200,RDEW,RDEW,RDEW,RDEW,D,R,Yes,Yes,Yes,Yes
Opanda PowerExif[47],Windows,Shareware,1.22,2013,1.6,A powerful GUI tool with batch processing to edit EXIF/GPS data and completely remove all data (include EXIF) in images.,>130,REW,REW,-,-,-,-,Yes,Yes,-,-
PhotoME[48],Windows,Freeware,0.8ß2,2009,3.1,"Show and edit the metadata of image files, analyze and modify EXIF and IPTC-NAA data, and analyze ICC profiles.",>200,REW,REW,RE,-,REW,R,Yes,Yes,Yes,Yes
QuickImageComment[49],Windows,GPLv3,4.35,2019,15.8,Shows images and edit metadata using exiv2 library; GPS data can be shown and modified on a map; optimised to edit comments.,>200,REW,REW,REW,REW,REW,-,Yes,Yes,Yes,-
VRmeta[50],"Linux, MacOS, Windows",Paid subscription,1.0,2018,11.9,"Add .xmp metadata, embed in-frame time-based metadata, export as .csv or .xmp, embed IPTC keywords and captions.",>unlimited,REW,REW,REW,REW,?,?,?,?,?,?
XnView[51],"Linux, MacOS, Windows",Freeware (for private and educational use),2.45,2018,4.6 to 14.6,"Picture viewer, editor with slide show, scan module, add ons",>31,RD,?,RDEW,DEW[e],?,R,Yes,Yes,Yes,Yes
